"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s332_P2_760","s358_P2_865","s359_P2_950","s364_P2_972","s486_P3_279","s697_P2_870","s732_P2_199","s735_P2_479","s738_P2_114"
"ABCC6",0.000330052305046086,0.000406363053049257,0.00456435825086483,0.00336880641725586,3.04752747768811e-05,5.89158118733743e-05,0.000491249154682809,0.00330098884164151,0.000841229326516101,0.00838560733769764,1.23089239459486e-05,0.00145100110333243,0.000331169731787904,0.000374970729901135,0.0015014671607747,0.00270198932867298,5.95232908517117e-05,0.00229665081978833,0.00229538044636444,0.000131239788807764
"ABCC8",0,1.6044982355972e-05,5.01943033554676e-07,4.86507992484586e-06,0,7.48765843278693e-06,1.60621770737496e-05,1.35141109023496e-05,0,0,0,1.08112887218797e-06,6.96230568761484e-06,0,0,3.24338661656391e-06,6.32936880692258e-07,0,0,5.40564436093985e-07
"ABCC9",0.000552194144114013,7.43069716937861e-05,0.000631705011529898,2.26566439404567e-05,7.69320304728795e-05,5.28251694783437e-05,0.00010522593780455,5.40723383361001e-05,2.95252740272852e-05,3.01047420431509e-05,1.09182719561458e-05,0.00111425162104441,2.30348901210849e-05,3.00028409612424e-05,0.0022156842338397,0.000153257158263807,2.31405617797748e-05,4.6185786917441e-05,4.16291873143925e-05,1.35199577770223e-05
"ABCG1",0.0216405324598962,0.130770673546913,0.0212778587992846,0.0923547271282145,0.0200947801413322,0.0893383809379903,0.141298281088999,0.0940545021680742,0.28828203453603,0.0187740075884183,0.0259323904116281,0.0155812711987135,0.120568680847993,0.165729170435692,0.0425557175985692,0.0614751972749242,0.0865629027157442,0.853199017206252,0.241371043220929,0.221537346861708
"ABCG2",0.0209928581110557,0.0423134107348355,0.0106775837270958,0.0498046222027145,0.00541934735598978,0.02553395475378,0.0751701894387545,0.0166015407342382,0.0585966932866395,0.0386657029128669,0.00384393014175449,0.0382557243006358,0.0213386802142098,0.0105783526837089,0.0854206698167665,0.0129925101398386,0.123290152348768,0.0116726650302994,0.0012813100472515,0.0194887652097579
"ABCG4",4.04074053481392e-05,1.386499054788e-05,0.000127526079486507,6.50216308485489e-05,6.06111080222088e-05,0.000166379886574561,0.000240882594585624,3.25108154242745e-05,4.04074053481392e-05,5.54599621915202e-05,2.83391287747793e-05,3.25108154242745e-05,0.000181833324066626,0,0.000155865208261286,0.000113804109392673,0.000262648134762905,4.15949716436401e-05,5.66782575495586e-05,8.12770385606862e-05
"ABCG5",0,0,0,1.94338207290857e-05,0,0,0,6.47794024302858e-06,0,0,0,0,3.14292288746502e-06,0,0,0,0,0,0,0
"ABCG8",0,0,1.45665132083687e-06,1.19953748672522e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD2",5.72530804926178,5.55169813682405,2.5655410658587,2.6843648793491,6.43459925093823,1.53843945472556,1.86330877848336,1.11340134893657,15.4863312526972,5.3134315128991,1.99132080990711,4.91160080193752,5.70939393462204,4.03267927248407,2.9082835878288,1.32466409321802,6.96730481751283,2.24770931059942,1.31149901812252,0.410038040384606
"ABI1",0.816189024012134,0.700393873525829,2.60816243412913,0.463630973385193,0.906242703595476,0.679269780223053,1.64735151226263,0.897423421331318,0.862658407457389,1.102685311059,0.61042003779803,1.12464827737173,0.905898628755553,0.920198127546658,1.14062462191106,0.680111995575854,1.99935907718238,1.09775303728707,1.46500711247803,0.292409011156763
"ACE",0.00189399450522867,0.00911928410840879,0.00877065412827656,0.00479567986717642,0.00411835891246821,0.0153816267811404,0.00703912749920506,0.00570300305610079,0.00204815684867751,0.00207985958182784,0.0023526432747523,0.00531416414795135,0.0114300145839439,0.00617094413350971,0.00856360269895216,0.00644824522681153,0.00147555385872466,0.00335971339511775,0.00676603266787182,0.00839243976755873
"ACE2",3.85129574378115e-05,0.000464907758283312,4.02885229640722e-05,0.000173732657205022,3.20941311981763e-06,0.00116828584905077,0.000177567934545355,2.74972550971977e-05,0.000223374511256683,0.000284414158008614,7.4608375859393e-06,2.49975046338161e-06,1.2195769855307e-05,9.68102037837014e-05,0.000413330402261037,0,3.20941311981763e-05,1.96902109390579e-05,2.98433503437572e-06,1.24987523169081e-06
"ACHE",7.12248017758788e-05,0.000246118131448512,3.3660388839031e-05,0.00156106142083897,1.25693291237653e-05,0.00046808229634228,2.57402973474943e-05,0.000235504955730017,0.000209488818729422,9.77567449363484e-05,9.90011436442089e-06,1.07659408333722e-05,0.000148038765235459,0.000143759919024042,0.000100981166517093,0.000135920003021324,4.46909479956101e-05,1.15007935219233e-06,0.000249486842029152,0.0017118868689441
"ACKR1",0,0,0,0,6.06411339678889e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACKR2",2.09641779632011e-05,0.00135494802096305,7.15252756377997e-05,0.00138883311204136,0.00307833796376051,0.000104224766520878,0.00508458879453991,0.000493401237172589,0.000356391025374418,0.011199680736034,3.57626378188999e-05,7.30964795811243e-05,0.000455991834877586,7.81685748906586e-05,0.0292613300084831,7.30964795811243e-05,0.000377355203337619,0.0027100784352675,0.000214575826913399,0.00222944262722429
"ACKR3",0.000117747047540143,0.000121396383436489,0.000762219502095885,0.000126743947633988,0.000103028666597625,0.000332054813517456,0.00514725918746026,0.000549223773080616,0.000198698142723991,4.64162642551283e-05,3.34040419245209e-05,0.000137305943270154,0.000713841475712117,0.00121056473562867,0.000258122142144025,0.00156317535415252,0.0363544009280192,0.000260645176201874,3.94775040926156e-05,0.000161950599754541
"ACKR4",5.96942038711112e-05,0.000635736959054079,1.39699983689509e-05,3.62446534091011e-06,2.98471019355556e-06,5.13859712454193e-06,1.39699983689509e-05,0.000406233699874546,0,0,0,7.24893068182023e-06,0,8.17807732370849e-05,6.98499918447547e-06,1.08733960227303e-05,5.96942038711112e-06,0,6.98499918447547e-06,0
"ACTN1",0.00998407991149072,0.0166758872863819,0.0239984617786978,0.0417343063299225,0.014604277408287,0.0338798084297713,0.022194573390928,0.111183267158354,0.0118208906080547,0.0137450595925789,0.0418909663776055,0.066932748595574,0.0412524671752678,0.010002803698166,0.0325136724992216,0.0357743797313796,0.0547238443251469,0.0145423597781671,0.0159494094114335,0.0190947748046738
"ACVR1",0.00359529582968937,0.00257059703560278,0.00697223898868113,0.00191035696721326,0.00372059171533198,0.00760393388853131,0.00406498637832022,0.00358825899372579,0.00225184550029915,0.00345143098486528,0.00252499309169527,0.00528306683410747,0.00330641572401652,0.00464984452127683,0.00408885570817574,0.00457167441294736,0.00354656965193946,0.00273237687095066,0.00353301513216455,0.00194416859495155
"ACVR1B",0.0408031413556822,0.0373141480709891,0.0539217893980566,0.0178783376722997,0.0326090335839462,0.0241688373552051,0.0154440438231449,0.0653151894875333,0.0537434088571469,0.0328012634272003,0.00663241145779228,0.0331974744373429,0.0398120269950062,0.0315947587563273,0.0462303950151089,0.0147544510245324,0.103648183723678,0.028504514607546,0.0202525421300443,0.0101928834027207
"ACVR1C",0.000258029073861706,0.000133492722626897,0.000478482107413908,4.85181837576453e-05,8.85393880898012e-05,3.81407778933992e-05,0.000379595805215034,0.000145554551272936,2.52969680256575e-06,0,1.59494035804636e-05,0.000140330760155029,0.000134073930535985,7.08328732305985e-05,0.000526330318155299,0.00253911828331677,0.000306093313110455,0.000414099874271191,1.91392842965563e-05,2.15636372256201e-05
"ACVR2A",0.00897270849294847,0.00937993737719505,0.00772751235596569,0.0105107975661684,0.00901915247916852,0.0112942422158654,0.0235410660440035,0.0274179431812976,0.00767092865496292,0.00609380074483548,0.00528210737160939,0.00867798474496731,0.00999545248980017,0.00992796181368512,0.0130747653163583,0.0102115941180003,0.0137146906255398,0.0184408292653699,0.0033909615783074,0.004376397479143
"ACVR2B",0.0161051650780235,0.00790001487824264,0.0676581458298868,0.0203799851793932,0.0167793347789641,0.00611614055089753,0.0178747503175028,0.140343988849003,0.021049076218254,0.00968388920558775,0.00842033692642695,0.0795552792675137,0.0310867139878129,0.0203871351696584,0.0596162070269167,0.160499639797596,0.0353590022904175,0.0244645622035901,0.0652206798775,0.0583608666500804
"ACVRL1",0.00372330737634241,0.00523320311009433,0.00351593107343943,0.00795435787715105,0.00235156255347942,0.00573639571683416,0.00523101940194647,0.00889016468622764,0.00293945319184927,0.00241532451235123,0.000257263249276056,0.00865621298395849,0.0119537763135204,0.00291851711909107,0.00548828265122252,0.0388359825766786,0.00940625021391766,0.00181149338426342,0.000600280914977464,0.00327532383176808
"ADA",2.49461274444494e-06,1.84224539082601e-05,0.000183640070003586,1.45725459712045e-05,6.65230065185316e-06,4.18047992533594e-05,5.79916010537639e-05,0.000147344631486623,7.65014574963114e-05,0,5.79916010537639e-06,0.000236399079088429,0.000256945112677828,4.18047992533594e-05,7.73221347383519e-06,0.000161917177457828,0.000371697298922295,0,3.8661067369176e-06,4.53351905164172e-05
"ADAM10",0.00425348319070685,0.00357797155362933,0.0170593933576697,0.00462039243207726,0.00996443593397,0.00624485146337635,0.0182418375164656,0.0120330438013881,0.00920281447058322,0.00715048381283932,0.0194079088637718,0.0108294797528934,0.0127196176516872,0.00725220380355259,0.0186659414049679,0.00857319093135062,0.0096618617123986,0.00403254324574566,0.00581897038603408,0.00221388607622168
"ADAM11",1.15066942564254e-06,1.88352564520666e-05,4.60158465665114e-05,2.70077447632763e-06,7.47935126667651e-06,1.41264423390499e-05,1.70916001532757e-05,1.01279042862286e-05,0,9.41762822603329e-06,3.94421541998669e-06,2.09310021915391e-05,2.47393926513146e-05,3.29616987911165e-05,9.72906470263384e-05,2.02558085724572e-05,2.1287384374387e-05,6.27841881735552e-06,2.10358155732623e-05,4.72635533357335e-06
"ADAM12",3.18971649678153e-06,1.63537284679015e-06,1.61195001134478e-06,1.08350878303357e-06,2.18554648853549e-06,2.10658197213646e-06,2.65673242610528e-06,4.15927565099984e-06,3.16018208477429e-05,7.20672779941421e-07,7.76124079536373e-07,2.34510446772239e-05,3.16017617789189e-05,3.6033638997071e-07,3.9403222499539e-06,1.43302774530247e-06,1.89020236846313e-06,9.97854618380428e-07,1.49254630680072e-07,9.43701198126014e-07
"ADAM15",0.0229212036200874,0.0153789014009133,0.059389080434552,0.0151184184710324,0.0181156025656417,0.0189534824873317,0.0116834801077916,0.0315361347473842,0.0151959962350674,0.117711863803312,0.0232333432277595,0.0372368712481292,0.0102121325122499,0.0316187473619414,0.0261518710129354,0.0145595100628406,0.0213621983232394,0.0154836633839458,0.00954498892065484,0.0119134869939925
"ADAM17",0.321254520303128,0.07098271431421,0.202233923419383,0.113024517479736,0.322816301191237,0.075075381980164,0.0984148206794748,0.80084136473785,0.194464898273467,0.300229709131968,0.0478564109336035,0.208207913851365,0.290539840820171,0.170992175121816,0.246605639058624,0.138870816429261,0.947851421038889,0.0909866297757152,0.0798037532248821,0.0263810931726853
"ADAM19",0.00332221393840625,0.00695691480373708,0.00269942984767044,0.00071035374800105,0.0371903393660477,0.00888939113810849,0.00321549731854861,0.00236784582667017,0.0047072080158396,0.00139138296074742,0.00115122743503592,0.0671609363266625,0.717451756431298,0.00162328012087198,0.00341398480734791,0.0399827681017734,0.0380208928506492,0.0012367848539977,0.000158789991039437,0.000202958213714586
"ADAM2",0,1.93069838470074e-05,0,1.91022688192785e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20",0,0,4.84995437479449e-06,2.78194811047652e-06,6.91531747146408e-06,0,2.42497718739724e-06,2.78194811047652e-06,1.72882936786602e-05,0,4.84995437479449e-06,0,6.91531747146408e-06,4.74570492964625e-06,2.42497718739724e-06,5.56389622095304e-06,2.42036111501243e-05,0,0,5.56389622095304e-06
"ADAM21",8.7760364606488e-07,0,2.78554586885603e-06,0,0,0,9.28515289618677e-07,7.64622858581721e-07,4.3880182303244e-07,0,0,1.27437143096953e-06,2.1940091151622e-06,5.96472208609109e-06,4.64257644809339e-06,3.5682400067147e-06,3.90840783774994e-06,0,0,0
"ADAM22",8.30123521128509e-05,5.05427648628592e-05,0.00352187953860933,0.000154162830774124,3.98459290141684e-05,3.11032399156056e-05,0.00066362784398655,0.000810896489871892,0,7.77580997890141e-06,0.000216828899520358,0.000798563463409962,0.000604329923381554,0.000416005833871225,1.97117181382144e-05,0.000138746547696711,8.63328461973649e-05,0.00060651317835431,0.000203687754094882,0.000123330264619299
"ADAM23",0.000126630967674204,0.00402523429433553,0.000803747933037093,0.000337232318317954,0.000196496329149627,0.000539963270571344,0.000844703241726881,0.000407223931553755,0.000301294371362761,0.000218662812049552,9.21494445520234e-05,0.000483578418720084,0.000187763158965199,0.000209737799312836,0.000875419723244222,0.000388135309762173,0.0123099098988218,0.000307912939416717,0.000112627098896918,0.000159071848263186
"ADAM28",2.08680854139412e-05,0.000161541157325768,1.50960994501779e-06,2.61840958744547e-05,6.77439171565789e-05,5.39846923431365e-05,9.69920615649067e-05,7.92847098855865e-05,1.21470294121747e-05,5.27208366695514e-05,7.88771196271794e-05,1.83107396611283e-05,4.74984528479067e-05,0.000124759526759041,0,2.0141612211119e-06,2.86548982915184e-05,1.24580059253392e-05,8.11411571422199e-05,4.06496186589148e-05
"ADAM29",0.000303730677117936,0,0.000519139959302666,0.000148962039255232,0,0,8.65233265504443e-05,0.000148962039255232,0,0,8.65233265504443e-05,0,0.000101243559039312,0,0,0,0,0,0.000173046653100889,0
"ADAM30",0,0,0,0,0,0,0,1.1010859842918e-05,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM32",4.59737712653315e-06,1.66502164715852e-05,1.56252643714062e-05,8.4137657653421e-06,4.59737712653315e-06,3.10783321914797e-05,0.000171221126139723,7.29193032996315e-06,8.53798609213298e-05,3.32982130622997e-06,1.25002114971249e-05,2.97291999552598e-05,3.94060896559984e-06,6.65953161841639e-05,1.51044222256926e-05,3.53372552967191e-05,3.28384080466653e-06,2.88595612610951e-05,8.85431647713015e-06,2.80458858844737e-06
"ADAM8",0.196962826204459,0.0395323069304808,0.00794123839855168,0.0378602506315874,0.285057373332531,0.0112395617189438,0.0325248427173294,0.10325169890194,0.0138541736147196,0.148328994310593,0.0245456839555157,0.297874860705837,0.0489128058809072,0.0534835928578419,0.0623140617936036,0.0194154743133775,0.00147005700734967,0.00581356640635024,0.0182002545115132,0.00139787811537079
"ADAM9",0.0122145507626831,0.00611851327833963,0.00460223100058176,0.000856736983652694,0.0341358129507602,0.00345273970893172,0.000869822731641065,0.006009088543945,0.00696056517907051,0.0105331713898552,0.0114513771417214,0.0126880558807133,0.0415077243520534,0.00467662370279181,0.00824654585412656,0.00776610688342823,0.0113281892079732,0.0025926292080722,0.0024025029388171,0.00127080580158643
"ADAP1",0.0427013919808248,0.0121790694936878,0.020936353115232,0.017620354493038,0.0154916754529284,0.00366109266951767,0.0101426785954541,0.00791205238158262,0.0456748037962745,0.00456252642422758,0.00105032212607929,0.0330249494085766,0.0287661347243958,0.0164840513011518,0.000789230857275547,0.00461897064466651,0.015158518060532,0.00312755088576441,0.00962532440433665,0.00816865948585016
"ADAP2",4.01833054184773e-05,1.38382022509074e-05,0.000799819691652527,1.646133152132e-05,9.10033681536104e-05,5.25851685534483e-05,5.37892008690322e-05,2.41432862312694e-05,7.80028869888089e-05,0.000102402696656715,1.16933045367461e-05,0.000210703946050795,0.000287192447549706,5.3968988778539e-05,0.000668854680840971,5.92607934767521e-05,0.000190318771219225,4.42822472029038e-05,5.14505399616829e-05,3.51175072454827e-05
"ADCY1",3.07771475699001e-05,6.1477464992262e-05,7.50035869740147e-06,1.34139598918296e-05,0.000820065890470722,3.68864789953572e-05,3.65642486498322e-05,0.000740642214027448,0.000822189513653045,1.09293271097355e-05,1.87508967435037e-06,1.53302398763767e-05,1.09918384178215e-06,4.91819719938096e-05,6.56281386022629e-06,0.000263488497875224,6.48518466651466e-05,6.83082944358466e-06,0.000152832934087275,0.000183004738524246
"ADCY2",0.000293873696173619,0.00062906442003363,0.000112368926137301,0.000167562382905818,0.000326526329081799,0.00125812884006726,0.000716351904125293,0.000143624899633558,0.000489789493622699,0.000164103761747903,4.21383473014878e-05,0.000191499866178078,0.000685705291071778,0.000300856896537823,0.000337106778411903,0.000119687416361298,6.53052658163598e-05,0.000328207523495807,2.80922315343252e-05,7.18124498167791e-05
"ADCY3",0.00339001329557964,0.00180551040480863,0.0123972666051196,0.000324291009292387,0.00199565744134105,0.00218521369541188,0.00240133306317586,0.0102846577232728,0.00262174605038922,0.00351646021234832,0.00208883010175123,0.0129880402313083,0.00674376127804768,0.0030388858841558,0.0091591383313781,0.00530931093504978,0.0137961711968434,0.00152177710685822,0.00430924588029461,0.00177896782240395
"ADCY4",0.000230275863039121,0.000487828917200423,0.000217667604186192,0.000418889212378521,0.000140157904638463,0.00147723528207054,0.000533653921679751,0.000306097405457038,0.000695222854503195,0.000212995724411452,4.9152334891556e-05,0.00016916354416163,0.0004805757141686,0.000714552559591684,0.000407255181625051,0.000209432523078963,0.000547055354628589,0.000116804106935312,0.000238739912330415,0.000314160867728742
"ADCY5",8.77883057627122e-05,8.77311934811043e-05,0.00323530683890893,0.000171895095162498,0.00014046128922034,0.000199728461754854,0.000402520049870978,0.0152716307039704,0.000691335102589002,0.00171915806800206,4.32817257925782e-06,0.000126659543803946,5.70623987457629e-05,6.71983609642501e-05,9.08916241644143e-05,0.00011308887839638,1.97523687966102e-05,4.29322861716042e-05,0.000289987562810274,6.78533270378281e-05
"ADCY6",0.000493316580416446,0.000470099743340567,0.00141205499725263,0.000316714869273799,0.000263867391657913,0.000363553665224727,0.000393980516018413,0.00138293031606428,0.000929272118447431,0.00183133726003899,2.32645747584685e-05,0.000218236200348043,0.000657665811685812,0.000861611952498193,0.000140093200175995,0.000901681594498689,0.000841113162457376,0.000319693303468393,0.000892145361073125,0.000305696856525312
"ADCY7",0.00127983777679642,0.000809365672051563,0.00275093983900331,0.00146480044659254,0.000980147719315779,0.00103931967731006,0.00108013594180212,0.000976533631061692,0.00288756787657374,0.000817350689084555,0.0023819561613402,0.0122722791370098,0.00825815854336475,0.000179255484414105,0.0021260756994228,0.00927852166794261,0.00626070197479536,0.000607404492945005,0.000322500071950327,0.00211723014205889
