"","s201_P2_195","s332_P2_760","s486_P3_279","s697_P2_870","s738_P2_114"
"HPN",9.36e-05,0.000352089,0.000103176,8.77e-07,2.58e-06
"HRH1",0.000162609,0.000312514,0.000726615,4.68e-05,1.02e-05
"HRH2",5.25e-06,1.27e-06,2.55e-06,4.33e-06,0
"HRH3",0,0,0,0,8.59e-05
"HRH4",9.19e-05,7.7e-05,7.7e-05,0,0
"HS2ST1",0.008256952,0.004841807,0.003001932,0.004604743,0.001022835
"HSD11B1",8.49e-05,0.003264392,0,0,0
"HSD17B2",6.37e-06,0,0,7.72e-06,0
"HSD17B7",0.001218923,0.001188314,0.000655578,0.000714875,0.000613162
"HSP90AA1",0.068057407,0.080002624,0.105184417,0.164114938,0.030622506
"HSP90AB1",0.018446989,0.020448464,0.015534529,0.131025114,0.012976246
"HSPA8",0.022979611,0.033722666,0.013034364,0.047649197,0.005318788
"HTR1A",0,0,0,0,0
"HTR1B",0.00015696,0.000126682,5.33e-05,1.38e-05,0
"HTR1D",0.002950164,0.002739955,0.000640705,0.000166995,3.77e-06
"HTR1E",0,0,0,0,0
"HTR1F",0,0,0,0,0
"HTR2A",4.18e-06,1.57e-05,1.21e-06,2.53e-06,1.21e-06
"HTR2B",1.66e-05,4.92e-06,0,8.1e-06,0.001428036
"HTR2C",0,0,0,0.000960115,0
"HTR3A",3.4e-05,9.2e-05,0,0,7.66e-06
"HTR3B",0,0,0,0,0
"HTR3C",0,0,4.07e-06,0,0
"HTR3D",0,0,0,5.1e-05,0
"HTR3E",0,0,0,2.94e-05,0
"HTR4",0,0,0,0,0
"HTR5A",8.34e-06,0,0,0,0
"HTR6",0,0.000102238,0,0.000625386,0
"HTR7",0.000184962,0.006894316,0.000232393,0.015276372,0
"HYAL2",0.001136847,0.001076743,0.001208262,0.000393067,0.000876819
"HYLS1",0.000890101,0.002306101,0.000932357,0.001415682,0.001215045
"ICAM1",0.68901635,0.711519389,0.26862555,0.017848463,0.053237068
"ICAM2",0.016573002,0.005118093,0.002020334,0.000143488,0.000288616
"ICAM3",0.001008266,0.000501012,0.000306404,0.000194866,0.000169764
"ICAM4",0.000264551,1.61e-05,2.36e-05,1.3e-05,0
"ICAM5",9.67e-05,2.37e-05,8.34e-05,6.08e-05,4.32e-06
"ICOS",0,0,0,0,0
"ICOSLG",0.017707662,0.003013029,0.001073779,0.008463141,0.000551605
"IFIT5",0.005708646,0.006291631,0.002686129,0.00138222,0.002078999
"IFITM1",0.127573742,0.976960548,0.09180128,0.071126813,1.020451576
"IFITM2",0.029013485,0.025982034,0.004150248,0.005548981,0.034105759
"IFITM3",0.029774312,0.027656167,0.012499126,0.01927423,0.018550704
"IFITM5",0,0,0,0,0
"IFNAR1",2.813128316,2.453552573,2.969319963,2.626589303,0.614559444
"IFNAR2",5.700830972,0.564526885,1.093477567,0.327185897,0.225387473
"IFNGR1",1.335313375,0.333917757,0.236897929,1.231689486,0.258091581
"IFNGR2",2.758907389,0.41157315,0.545742421,1.078722774,0.222007053
"IFNLR1",0.081089077,0.246895954,0.094319591,0.082010599,0.029960341
"IGDCC3",0,0,0.000428772,0.001169759,0
"IGDCC4",0.1153121,1.643496724,1.179425424,0.006871691,0.005632275
"IGF1R",1.639749823,0.191491837,5.783689097,2.222739804,1.301822656
"IGF2R",3.489026874,1.426926707,1.197057862,1.020294554,0.499207336
"IGFLR1",0.000265779,0.001310144,0.00030037,0.000401621,0.000335122
"IGLL1",0,0,0,0,0
"IGLON5",2.45e-06,2.64e-06,2.38e-05,0,5.29e-06
"IGSF1",1.17e-07,0,7.15e-06,0,1.29e-06
"IGSF11",4.49e-05,0,0,0.000184118,0
"IGSF3",0.003554263,0.000611161,0.000343672,0.00433827,0.000531566
"IGSF5",2e-06,0,1.71e-06,0,0
"IGSF6",0,0,0,0,0
"IGSF8",0.001093695,0.000570052,0.000397911,0.000737357,0.000546843
"IGSF9",0.002024376,0.004271026,0.00064367,0.002983037,0.000777761
"IGSF9B",5.66e-05,0,2.94e-05,7.22e-07,0.000109079
"IKBIP",0.002271126,0.003220652,0.014298138,0.004188569,0.000352845
"IL10RA",0.000855599,0.000139903,1.4e-05,1.2e-05,0.000125913
"IL10RB",0.00151504,0.000523051,0.000544275,0.002813742,0.000171994
"IL11RA",0.000105647,6.05e-05,5.06e-05,0.000251666,0.000219014
"IL12RB1",2.09e-05,0.000163797,0,2.65e-06,0
"IL12RB2",0,0,4.58e-06,0.000257249,0
"IL13RA1",0.042931032,0.0180827,0.010129229,0.007773677,0.010046892
"IL13RA2",0,0,0.001174686,1.51e-05,0
"IL15RA",0.003872602,0.005357915,0.004289778,0.003360552,0.001584978
"IL17RA",0.003869329,0.001841196,0.000757485,0.001774388,0.001073902
"IL17RB",0.002278854,0.000320624,2.79e-05,6.79e-06,0.000170041
"IL17RC",0.000125878,0.00011338,9.84e-05,0.000128095,3.62e-05
"IL17RD",0.000262211,0.000428083,0.000308618,0.000195072,0.000144543
"IL17RE",0.002451314,0.000642403,0.000619896,0.00201591,0.00044695
"IL18R1",7.3e-05,0.002476676,6.68e-06,2.76e-05,2.94e-05
"IL18RAP",0,4.21e-05,0,0,2.81e-06
"IL1R1",0.000349344,0.000218663,4.88e-05,1.48e-05,0.00014276
"IL1R2",0.000202546,4.72e-05,5.62e-06,3.16e-05,3.37e-06
"IL1RAP",0.027537118,0.101000207,0.021285919,0.085581971,0.013260094
"IL1RAPL1",0,0,0,0,0
"IL1RAPL2",4.09e-05,1.39e-05,0,7.22e-06,1.39e-05
"IL1RL1",0.000106965,0.0036986,0,5.69e-06,7.42e-07
"IL1RL2",0.000342061,7.57e-05,4.04e-05,0.000195251,0.000103337
"IL20RA",6.99e-07,2.56e-05,5.95e-07,0.001512109,7.2e-05
"IL20RB",0.027068253,0.001331225,0.000376216,0.164185539,0.000260457
"IL21R",0,7.31e-06,8.78e-06,0,0
"IL22RA1",8.6e-05,0.0001103,8.61e-05,0.000718515,0.000150654
"IL23R",0,0,0,2.66e-05,7.83e-06
"IL27RA",0.004993463,0.001493896,0.001864112,0.001928407,0.000135932
"IL2RA",0,0,0,0,0
"IL2RB",0.000219329,4.44e-05,0.000539957,0.000244825,0
"IL2RG",1.33e-06,0.000328905,3.4e-06,1.95e-05,0
"IL31RA",0.002949737,0.001778239,0.000359063,0.001414973,0
"IL4R",0.000964667,0.000620179,0.000232633,0.00098552,2.17e-05
"IL5RA",0,0,0,0,1.76e-06
"IL6R",0.010790882,0.001874394,0.000289336,0.001722814,0.000855427
"IL6ST",0.004782912,0.005353423,0.00573487,0.00775166,0.007248999
"IL7R",0.00047851,4.79e-05,0.003133026,0.001318125,0
"ILDR1",0.007004539,0.000361733,0.001576121,0.015578364,0.00173115
"ILK",0.008468525,0.007604455,0.003656499,0.009941436,0.002606888
"INSR",0.002244848,0.000524347,0.000230098,0.000276356,0.002854632
"INSRR",0,0,4.72e-05,0,3.77e-07
"IQGAP1",0.011986282,0.006787428,0.005855102,0.005239226,0.001436584
"IRS1",0.001799862,0.006786475,0.003078359,0.004800228,8.29e-05
"ISLR2",4.71e-05,1.77e-05,1.77e-05,4.15e-05,2.65e-05
"ITFG1",0.002474459,0.002139481,0.001266935,0.00143841,0.000543921
"ITGA1",0.000156417,0.001517788,5.42e-05,0.000239442,0.009438302
"ITGA10",2.4e-05,2.29e-05,0.000109883,9.75e-06,3.01e-07
"ITGA11",3.52e-05,5.49e-05,3.51e-05,1.8e-05,1.98e-05
"ITGA2",0.008581701,0.053702779,0.001328904,0.039849574,0.000824598
"ITGA2B",6.58e-05,1.41e-05,8.64e-05,0.000319087,1.81e-05
"ITGA3",0.121539676,0.18075567,0.063126049,0.054667541,0.017583947
"ITGA4",1.28e-05,9.35e-06,1.25e-05,0.001721473,0
"ITGA5",0.03930809,0.212353068,0.048621738,0.103110092,0.012551193
"ITGA6",0.044699278,0.286264736,0.011982768,0.888285222,0.016916849
"ITGA7",0.000632463,0.00027515,0.004053439,0.000136748,0.000181192
"ITGA8",0,1.22e-05,3.67e-05,0,3.67e-05
"ITGA9",0.045818092,0.00333552,0.004572891,0.000721009,0.002205747
"ITGAD",0,1.08e-06,0,0,0
"ITGAE",0.001935772,0.002280536,0.001584976,0.002308431,0.001539354
"ITGAL",0,3.11e-07,0,1.85e-06,6.22e-07
"ITGAM",2.74e-05,0.000201131,0.000429576,7.43e-05,2.48e-06
"ITGAV",0.020204946,0.023631756,0.019218662,0.002918743,0.001294658
"ITGAX",9.44e-08,4.06e-07,5.79e-05,2.26e-06,2.03e-07
"ITGB1",0.065358046,0.05386397,0.037470025,0.0349628,0.00992283
"ITGB2",0.00086226,6.39e-05,0.000595674,6.39e-05,2.26e-05
"ITGB3",0.010988445,0.008374788,0.022545043,0.000174684,7.61e-05
"ITGB4",0.191271768,0.136314886,0.037335865,0.417132689,0.024532979
"ITGB5",0.007644328,0.011546643,0.003478181,0.0146775,0.000768788
"ITGB6",0.162341105,0.294489223,0.000586325,0.010323045,0.009475015
"ITGB7",0.000524987,0.000268659,6.79e-05,0.00013704,4.43e-06
"ITGB8",0.000343003,0.000512422,3.81e-05,0.00169064,5.48e-05
"ITLN1",0,0,0,3e-06,0.000272972
"ITM2B",0.002867764,0.000818805,0.001010196,0.001460901,0.00042987
"ITM2C",0.00885486,0.005080547,0.007115137,0.014854359,0.004416748
"ITPR1",0.041865953,0.065749558,0.109393605,0.023363267,0.063087279
"ITPR3",0.00420882,0.018832814,0.002112346,0.007291587,0.01405788
"ITPRIP",0.001155094,0.018700049,0.003252182,0.031972802,0.000640581
"ITSN1",0.041997266,0.046422431,0.037861473,0.023338417,0.011253879
"IYD",0.00775773,1.94e-05,6.48e-06,1.66e-05,1.3e-05
"IZUMO1",0.00012159,0.000142368,4.75e-05,0.00120301,0
"IZUMO1R",0,0,0,0,0
"JAG1",0.000837233,0.002932566,0.001273,0.013175955,0.000223601
"JAG2",0.000975501,0.000760111,0.001276055,0.003809299,0.000552589
"JAM2",0,0,9.13e-06,4.74e-06,4.57e-06
"JAM3",8.78e-05,3.38e-05,0.006421975,6.72e-05,1.13e-05
"JPH1",0.003060122,0.000925716,0.000552642,0.001920258,0.00013816
"JPH2",0.000691353,0.000210001,0.000357002,0.000194774,0.000189001
"JPH3",0,0,0.000261548,0.000450673,0
"JPH4",0,2.21e-05,0,5.65e-05,0
"JUP",0.005653608,0.004010681,0.004790582,0.01581452,0.002581111
"KAAG1",0,0,0,0,0
"KANK1",0.008746934,0.002186099,0.000455002,0.03577772,0.004022842
"KCNA1",1e-06,5.13e-07,0,0,0
"KCNA2",0,1.46e-06,0,1.21e-05,0
"KCNA3",2.15e-05,1.83e-05,2.29e-05,1.25e-05,7.54e-05
"KCNA4",0,0,0,0,0
"KCNA5",0,0,0,0,0
"KCNA6",4.94e-06,0,0,2.51e-06,0
"KCNA7",3.6e-06,0,2.96e-06,1.02e-05,2.96e-06
"KCNB1",0.000300002,9.66e-06,4.83e-05,2.98e-05,0.000376933
"KCNB2",0,0,0,0.000281097,3e-05
"KCNC1",0,0,1.16e-05,1.18e-05,0
"KCNC2",1.78e-06,0,7.57e-07,0,4.17e-05
"KCNC3",0.002079683,1.91e-05,0.0004689,0.000765291,0.000184016
"KCNC4",0.001397514,0.000228681,0.00017239,0.000550104,0.000161836
"KCND1",7.32e-05,0.000293958,0.000787971,0.000310494,8.57e-05
"KCND2",0.000105394,0,0,0,0.001171336
"KCND3",3.23e-07,0,1.63e-05,7.17e-05,2.1e-05
"KCNE1",5.14e-05,0,5.34e-05,8.55e-05,5.34e-05
"KCNE2",0,5.24e-05,1.75e-05,0,0
"KCNE3",0.000546494,0.004479233,0.001154441,0,6.93e-05
