"","s201_P2_195","s332_P2_760","s486_P3_279","s697_P2_870","s738_P2_114"
"LPAR2",0.000409124,0.000497909,0.000123797,0.000802234,0.00017289
"LPAR3",0,1.35e-05,3.37e-06,0.002116585,0
"LPAR4",1.54e-05,1.66e-05,6.62e-06,0,3.31e-06
"LPAR5",0.000248963,0.00040088,4.83e-05,0.000501674,8.33e-07
"LPAR6",0.000173886,0.000137136,0.000368385,6.23e-05,0.001288004
"LPL",3.8e-05,1.62e-05,3.49e-05,1.24e-05,3.12e-05
"LPO",1.52e-06,3.18e-06,3.18e-06,0,0
"LPP",0.015214232,0.02245083,0.004755694,0.015080583,0.005796603
"LRFN1",0.003403762,0.003674885,0.00083607,0.003276799,0.00085605
"LRFN2",2.16e-05,0,0,0.000216935,1.11e-05
"LRFN3",0.001061524,0.002296199,0.000490773,0.001721871,0.000203771
"LRFN4",0.025345432,0.017004819,0.013130619,0.008943967,0.003504918
"LRFN5",0,0,0.000122658,0,0.002122928
"LRIG1",0.003709021,0.00014051,0.002214558,0.008965696,0.005134716
"LRIG2",0.024633571,0.047416945,0.053570052,0.023131897,0.015343326
"LRIG3",0.000268506,0.00012522,2.39e-06,0.000967891,0.001185436
"LRIT1",0,0,6.45e-05,0,0
"LRIT3",1.33e-05,3.16e-05,2.56e-05,2.48e-05,6.02e-06
"LRP1",0.614270914,0.451596452,0.255762485,0.379825682,0.080965009
"LRP10",0.201578446,0.483282766,0.211229866,0.223711777,0.638485797
"LRP11",0.184831995,0.230497275,0.060151835,0.093746926,0.093200596
"LRP12",0.031606135,0.012366759,0.025636487,0.117035289,0.005888933
"LRP1B",0,0,3.2e-05,4.09e-06,0
"LRP2",0.000204238,3.22e-05,3.86e-05,7.46e-06,0.000167273
"LRP3",0.00676152,0.02656042,0.007320211,0.009789445,0.016438624
"LRP4",0.00087564,0.001125842,0.000231873,0.003205751,0.000410667
"LRP5",0.0325389,0.028661848,0.006507107,0.029482805,0.01379033
"LRP6",0.002464124,0.003200397,0.000922196,0.002334958,0.000481287
"LRP8",0.000717313,0.002050287,0.00094519,0.002989271,0.000778894
"LRPAP1",0.002248354,0.002960411,0.002800272,0.001894124,0.001182798
"LRRC15",4.83e-05,8.1e-05,0.000121451,1.25e-05,0
"LRRC19",3.84e-05,0,0,0,0
"LRRC25",0,0,0,0,0
"LRRC26",0,3.22e-07,3.22e-07,0,2.83e-05
"LRRC32",1.88e-05,3.3e-05,8.58e-05,4.27e-05,0
"LRRC37A3",0.000178773,0.000190488,0.000701735,0.000265087,4.98e-05
"LRRC38",3.09e-06,0,2.1e-06,4.36e-06,0
"LRRC4",0.001807486,0.002386572,0.002386572,0.03321687,0.000116418
"LRRC4B",5.45e-05,0,0.002292123,0.000402934,7.9e-05
"LRRC4C",4.43e-06,1.5e-05,2.15e-06,3.66e-06,4.3e-06
"LRRC52",0,0,4.89e-06,0,2.45e-05
"LRRC55",0,4.1e-06,0,3.16e-06,0
"LRRC8A",0.000104799,0.000116388,6.45e-05,0.000200699,4.4e-05
"LRRC8B",0.014903993,0.003189593,0.001452989,0.002493829,0.001182462
"LRRC8C",2.5e-05,0.000739194,6.44e-05,0.000377328,1.58e-05
"LRRC8D",0.045036475,0.053822923,0.026862816,0.037908245,0.010391061
"LRRC8E",0.01925709,0.028027573,0.003503442,0.018058735,0.008698159
"LRRN1",6.19e-05,0.106652516,0.022941799,0.00300149,0.000568218
"LRRN2",0.001542084,0.007879409,0.017191438,0.00822498,0.000596925
"LRRN3",2.25e-06,4.64e-07,0,3.19e-06,0
"LRRN4",0.001114125,0.000217371,0.000632792,1.62e-05,9.18e-05
"LRRN4CL",3.48e-06,4.09e-07,4.09e-07,3.96e-06,4.09e-07
"LRRTM2",0,1.05e-06,5.23e-07,0,0
"LRRTM3",0,0,0,0,0
"LRRTM4",0.001505054,0,0,0,0
"LRTM1",0,0,0,0,0
"LRTM2",0,0,0,1.25e-05,0
"LSAMP",0,0,0,0,0.000352332
"LSMEM1",7.96e-05,2.65e-05,1.91e-05,1.14e-05,2.33e-05
"LSP1",5.85e-05,7.78e-05,4.76e-05,0.000110632,0
"LSR",0.029373857,0.056999601,0.009916733,0.027765477,0.007598732
"LTB4R",0.001092192,0.001011662,0.007734564,0.055041791,0.002438065
"LTB4R2",1.06e-05,4.38e-06,3.7e-05,0.000121378,1.33e-05
"LTBR",0.012949506,0.040911106,0.005058082,0.019373543,0.001813666
"LTK",0.001118166,0.000795413,5.03e-05,3.66e-06,3.28e-05
"LVRN",1.68e-05,2.29e-05,1.91e-06,4.38e-06,1.14e-05
"LY6D",1.82e-05,0.000558853,8.74e-06,0.012056088,0
"LY6E",0.004488145,0.006488626,0.008344452,0.050488347,0.002711871
"LY6H",6.13e-06,0,1.04e-05,0,0
"LY6K",0.001079865,0.003276142,0.00221336,0.007304616,0
"LY75",0.000329085,0.000329488,0.001138778,0.002261769,0.000219659
"LY9",2.97e-06,3.7e-05,7.39e-06,7.36e-05,0
"LY96",0.001119873,0.002551301,0.000791376,9.04e-05,0.001818983
"LYN",0.024086923,0.011646499,0.001636742,0.005033964,0.001352641
"LYPD1",9.53e-05,1.75e-05,1.33e-05,1.31e-05,0.000207295
"LYPD2",0,0,0,0,0
"LYPD3",0.000462094,4.72e-05,0.000207788,0.130443109,2.83e-05
"LYPD4",0,0,0,0,0
"LYPD5",0.000139776,0.000392797,3.75e-05,6.58e-05,1.63e-06
"LYPD6",0,0,1.86e-05,1.18e-05,0
"LYPD6B",0,1.76e-05,0.000245714,0.000354141,0
"LYPD8",0,0,1.3e-05,5.6e-05,0
"LYSMD3",0.001316988,0.001094041,0.001216946,0.000883014,0.000854749
"LYVE1",0,7.04e-05,0,0,0
"LZTS1",0.001410184,0.0003206,0.008015012,0.032762202,0
"MACF1",0.009839357,0.006806699,0.00263226,0.003306811,0.00114412
"MADCAM1",0.000416785,0.000248914,0.001120112,0.000120766,0
"MAG",3.55e-06,0,3.03e-06,5.17e-07,0
"MAGI1",0.004199592,0.007571696,0.00374315,0.004387109,0.01005043
"MAGI2",0.000454739,0.00050409,0.001183854,0.000424558,6.11e-05
"MAGI3",0.005956851,0.001584741,0.001757245,0.000697184,0.000496848
"MAGT1",0.029981299,0.020942341,0.009774134,0.014421755,0.005504179
"MAL2",0.034704727,0.023932528,0.000545207,0.014075537,0.00177994
"MAMDC4",0.029729539,0.00101285,0.030160416,0.007756674,0.00765253
"MANSC1",0.023523265,0.016607185,0.00212471,0.007178666,0.002491337
"MANSC4",0,5.71e-06,5.71e-06,0,0
"MAP3K12",0.000110564,9.41e-05,0.000819456,0.000145813,9.57e-05
"MAP4",0.170418801,0.152821439,0.094973302,0.209656716,0.035094125
"MAPKAP1",0.002885405,0.001768348,0.001904503,0.002537846,0.00089476
"MAS1",4.52e-06,4.28e-07,0,0,0
"MBP",0.007348682,0.004214964,0.000530689,0.001748381,0.000209452
"MC1R",0.006706108,0.006051623,0.009826604,0.011303561,0.010109001
"MC4R",0,0,2.93e-05,0,0
"MC5R",2.1e-07,0,0,0,0
"MCAM",0.024744303,0.010322608,0.004025746,0.002786805,0.000141073
"MCEMP1",0,0,0,5.65e-06,0
"MCHR1",0.000905631,0,2.38e-06,0,0
"MCHR2",6.66e-07,0,1.03e-05,0,0
"MCOLN1",6.75e-05,1.54e-05,5.71e-06,2.11e-05,1.05e-05
"MCOLN3",5.78e-05,0.004661375,0.006638069,0.002718542,0.000315431
"MCTP2",0.023498212,0.009872291,0.015750149,0.009393191,0.002934873
"MDGA1",2.68e-05,4.45e-05,1.15e-05,0.001653933,2.23e-05
"MDGA2",0,0,8.12e-06,0,0
"MEGF10",6.85e-05,3.87e-06,2.15e-06,8.08e-07,0
"MEGF11",0.000753744,0.000238377,0.000458057,0.000151043,0.000126199
"MEGF8",0.002022766,0.000769668,0.00230076,0.001893432,0.000190521
"MEGF9",0.0002584,0.000644474,0.000785882,0.000803364,0.000307381
"MEP1A",0,0,0,5.12e-05,0
"MEP1B",0,6.98e-06,3.49e-06,0,0
"MERTK",0.000731854,0.001254841,0.000265914,0.000980778,0.000255238
"MET",0.051272451,0.016754007,0.009224679,0.002991775,1.61e-05
"MFAP3",0.00486073,0.003198704,0.001900828,0.002994482,0.001113301
"MFAP3L",4.54e-05,3.39e-05,6.78e-05,0.00030228,1.13e-05
"MFGE8",0.006489578,0.020379949,0.005379307,0.002973538,0.00060568
"MFNG",0.008595345,0.000191335,0.000271572,0.000331334,0.000203679
"MFRP",0,0,0,0,0
"MFSD1",0.030350274,0.019470105,0.014851442,0.027025961,0.006990859
"MFSD11",0.011204002,0.005647159,0.007680697,0.008512523,0.001224358
"MFSD12",0.000252612,0.00015847,5.84e-05,0.000184205,2.87e-05
"MFSD2A",0.01581047,0.007234402,0.002673976,0.039125875,0.005307849
"MFSD2B",0.000666363,0.00601411,0.000419526,0.003358024,0.000279684
"MFSD6",0.22429339,0.074950611,0.072303413,0.140587541,0.119084059
"MFSD6L",0.001520133,4.09e-05,4.09e-05,0,0.002373792
"MFSD8",0.072652515,0.059709582,0.041951108,0.03739348,0.014676092
"MGAM",0.001135449,8.33e-05,0,0.000851789,0.000166605
"MGAT5B",2.81e-05,0.00010356,0.000199721,2.39e-05,1.27e-05
"MGST2",0.000179617,0.000161556,0.000101554,0.000987575,0.000121037
"MIB1",0.003817458,0.004906027,0.001047103,0.003709038,0.000600038
"MILR1",0.014646041,0.024587561,8.21e-05,0.007870865,0
"MIP",3.4e-05,5.81e-06,4.65e-05,4.46e-05,0
"MLC1",1.06e-05,0,1.03e-05,8.35e-05,0
"MLNR",0,0,0,0,0
"MMD",0.000686626,0.000558427,0.000147176,6.83e-05,6.77e-05
"MME",0.000330744,3.52e-06,1.17e-06,0.004077755,2.35e-06
"MMGT1",0.050553589,0.045315274,0.026177766,0.103741241,0.033350844
"MMP14",0.007264942,0.018453472,0.009077622,0.013288594,0.001341219
"MMP15",0.001571307,0.001092851,0.001397416,0.001810787,0.003989203
"MMP16",1.21e-05,3.4e-06,1.13e-06,0,7.94e-06
"MMP24",0.00031268,1.68e-05,0.000250798,7.41e-07,1.86e-05
"MPEG1",7.78e-07,0,0,0,0
"MPL",0,1.31e-06,6.53e-07,5.55e-07,0
"MPP1",0.01476807,0.002984022,0.014823837,0.001054004,0.015208942
"MPP7",0.004116858,0.002510583,0.001186834,0.002509951,0.000718727
"MPZ",0.001374286,0.001775971,0.002565291,0.000606057,0.000460437
"MPZL1",0.350823529,0.112457211,0.112914831,0.115337675,0.070109717
"MPZL2",0.035861646,0.053387776,0.002696819,0.014609246,0.004850133
"MPZL3",0.287311223,0.123950371,0.00453087,0.032008778,0.021144062
"MR1",0.039454605,0.027517297,0.117653306,0.0421541,0.038242672
"MRAP2",8.05e-05,0,0,0.001902753,0
"MRC1",0.000957172,0.000716394,0.000319121,0.000188763,0.000156304
"MRC2",0.003864978,0.0011826,0.010198269,0.002371553,0.000217211
"MRGPRD",0,0,0,0,6.31e-07
"MRGPRE",0,1.68e-06,5.6e-07,0,0
"MRGPRF",1.42e-05,9.58e-05,9.58e-05,8.03e-06,1.03e-05
"MRGPRX2",0,0,0,0,0
"MRGPRX3",5.79e-05,0,0,0.000629238,0
"MS4A1",3.91e-06,0,0,0,0
"MS4A15",2.92e-05,0,2.25e-06,0,0
"MS4A6A",0,0,0,0,0
"MSLN",0.000257536,1.61e-06,2.52e-05,1.44e-06,0
"MSN",0.3431547,0.609264685,0.228904514,0.980250681,0.044255546
"MSR1",2.83e-06,9.58e-06,0.00010064,0,0
"MST1R",0.000113696,0.000207752,5.56e-05,9e-05,1.88e-05
"MTM1",0.003823869,0.008187142,0.001866705,0.005579866,0.002641387
"MTNR1A",2.8e-05,2.18e-05,0.000152825,0,0
"MUC1",0.036197424,0.007693657,0.022832394,0.005262191,0.082150411
"MUC12",8.39e-06,0,3.02e-05,1.1e-05,1.01e-05
"MUC13",0.000137377,2.49e-07,1.2e-05,4.21e-07,0.000420308
"MUC15",0.000966305,0,9.19e-07,0.000122362,0
"MUC16",0.003880561,0.000987685,0.000916308,0.000465101,0.00046848
"MUC17",0,0,0,0,0
"MUC20",0.000913114,0.002811724,0.000652017,0.001936807,0.000303067
"MUC4",0.005855991,7.41e-05,0.012219692,7.23e-05,0.000269779
"MUSK",1.34e-06,0,1.15e-06,0,1.15e-06
"MXRA8",0.010067475,3.57e-05,0.028490401,5.98e-05,0.000107102
"MYADM",0.010108502,0.005469715,0.003885261,0.006521242,5.5e-05
"MYH9",0.13371027,0.349387287,0.111499301,0.114454495,0.02106724
"MYLK",2.427077515,2.938080769,2.996339688,0.071610717,0.103693147
"MYO10",0.31099718,0.067627925,0.017699187,0.169257451,0.037123021
"MYO1C",0.029431785,0.034525501,0.024440132,0.033490964,0.008597938
"MYO1G",0.013999606,0.006861894,0.019154754,0.000118529,0.000484133
"MYO6",0.122770717,0.02432293,0.003441228,0.006742967,0.011130989
"MYOF",0.023844573,0.039783006,0.020435485,0.047799089,0.003962221
"NAALAD2",1.24e-06,0,0,0,0
"NAALADL1",1.26e-05,0,0,0,0
"NAGPA",0.002704971,0.001689385,0.003260906,0.001868187,0.000785747
"NCAM1",0.000567273,0.000456407,0.000343648,0.00020338,0.004239217
"NCAM2",0.006599429,0,7.86e-05,0,0.000314485
"NCKAP1",0.001575417,0.001329622,0.000582225,0.001472875,0.000151886
"NCKAP1L",0.000216762,0.000189326,0.000144619,3.87e-05,3.23e-05
"NCMAP",5.47e-05,1.19e-05,4.77e-06,1.94e-05,0.00038896
"NCR1",0,0,0,0,0
"NCR2",8.37e-07,0,0,0,0
"NCR3LG1",0.005256951,0.002257641,0.000612971,0.0018355,7.48e-05
"NCS1",0.006757198,0.007811248,0.006986281,0.005793884,0.003437823
"NCSTN",0.016530143,0.006297052,0.005392127,0.006814919,0.003020319
"NEDD4",0.005445604,0.002681544,0.001800107,0.001239329,0.000515941
"NEGR1",4.07e-06,0,1.89e-06,0,0
"NEO1",0.000150238,0.000165682,0.001919354,0.000671209,0.00013631
"NETO1",0,0,0,0,0
"NETO2",0.063509126,0.041919284,0.012613579,0.029599506,0.005326942
"NEURL1",0.000149301,5.12e-05,0.000121088,2.86e-05,9.31e-06
"NF2",0.004363992,0.007401387,0.000702657,0.001033773,0.000401862
"NFAM1",6.26e-06,1.21e-05,1.42e-05,1.46e-05,4.05e-06
"NFASC",6.2e-05,4.74e-05,0.000201634,0.000935366,9.88e-05
"NGFR",8.92e-05,2.67e-05,8.68e-05,0.011861709,6.68e-06
"NHS",0.016549653,0.005658283,0.002023891,0.002401546,0.003634392
"NINJ1",0.001105504,0.000516576,0.000614971,0.000975492,0.001375778
"NIPAL1",0.002232951,0.002609516,0.000964071,0.006756699,0.000449417
"NIPAL2",0.00096154,0.000449767,0.000103561,0.000501917,4.16e-05
"NIPAL4",7.26e-06,9.72e-07,8.99e-06,0.001283845,0
"NKAIN1",1.08e-05,5.17e-06,2.22e-06,3.31e-05,0
"NKAIN3",5.97e-06,0,0,0,0
"NKG7",0,0,0,0,0
"NKTR",0.009199388,0.006828102,0.019593623,0.008664049,0.003593208
"NLGN1",1.12e-06,2.01e-05,1.24e-05,0,1.91e-06
"NLGN2",0.002171822,0.001868576,0.001663699,0.001877701,0.000419627
"NLGN3",0.000147714,0.000108371,0.000292602,0.00047095,4.33e-05
"NLGN4X",0,0,0,0,0
"NLGN4Y",0,0.001119976,0,0.001649201,0
"NMBR",0,3.52e-06,0,0,0
"NMUR1",0,4.95e-05,0.000544054,4.8e-05,0
"NMUR2",0,0,0,0,1.7e-06
"NOD2",0.000385249,2.73e-05,3.41e-06,0.000192566,1.71e-06
"NOMO1",0.081184712,0.068258546,0.039811036,0.037774192,0.023165048
"NOMO3",0.000389367,0.001776889,0.000387353,0.000410502,0.0003649
"NOS1",0.000197792,0,3.53e-05,1.33e-05,0
"NOS3",0.000475007,0.000456336,0.000339254,0.000148194,4.74e-05
"NOTCH1",0.003505623,0.001713768,0.000870194,0.002922356,0.001087743
"NOTCH2",0.010305772,0.01860237,0.008428253,0.006075984,0.001468835
"NOTCH3",0.093414833,0.046363083,0.01286087,0.108008973,0.001500238
"NOX1",8.91e-06,0,0,0,7.58e-06
"NOX4",0.000577794,9.06e-06,5.44e-05,0,0
"NPBWR1",3.16e-05,0,0,2.7e-06,0
"NPC1L1",7.09e-06,1.19e-05,7.42e-06,4.58e-06,4.45e-06
"NPDC1",0.000157126,7.08e-05,0.00021839,0.000520399,0.000375391
"NPFFR1",0,8.74e-07,7.87e-06,1.03e-05,0
"NPFFR2",0,9.8e-06,0,0,0
"NPHS1",2.21e-05,0.00029588,4.62e-06,0,0
"NPR1",2.45e-05,4.66e-05,2.28e-05,2.14e-05,0.000234112
"NPR2",0.000643646,0.001143253,0.000648873,0.001074814,0.000726116
"NPR3",2.18e-05,1.08e-05,1.08e-05,0.000267894,2.16e-05
"NPSR1",0.00010313,0,0,0,0
"NPTN",0.012111201,0.013606811,0.008259906,0.005604242,0.002006209
"NPTXR",0.001008606,0.002854761,0.000850354,0.00140102,0.000480395
"NPY1R",1.38e-06,9.36e-07,2.81e-06,1.94e-06,0
"NPY2R",0,0,0,0,0
"NPY4R",0,4.57e-06,1.85e-05,4.44e-05,0
"NPY5R",0,0,0,0,0
"NPY6R",0,0,5.38e-06,0,0
"NRCAM",0.000228583,0.000111521,7.92e-05,0.000975306,6.46e-05
"NRG1",0.000110699,0.00279125,0.00136195,0.004280555,0.000246947
"NRG2",0,0.001505721,3.67e-05,0.00040084,0.004901998
"NRG3",0,0,0,0,0
"NRG4",3.49e-06,3.18e-06,8.26e-05,0.001164593,6.35e-06
"NRP1",0.048249957,0.041872847,0.028214161,0.005478446,0.016119815
"NRP2",0.003659982,0.001061189,0.005143654,0.00047017,0.000197973
"NRROS",1.82e-05,0.000273523,7.18e-05,2.7e-05,1.06e-05
"NRXN1",0,0,0,0,0
"NRXN2",0.000344113,1.69e-05,0.000884963,0.00015029,8.43e-06
"NRXN3",5.89e-06,0,0,2.52e-05,0.000114822
"NT5E",0.023032358,0.034935829,0.000717621,0.004404237,0.002462424
"NTM",0.002281095,0,0,0,4.43e-06
"NTNG1",0,0,0,0,0
"NTNG2",0.00026893,0.000359962,0.00024426,0.001967399,0.000115702
"NTRK1",0,0,0.000475873,8.19e-06,1.2e-05
"NTRK2",2.92e-05,4.89e-06,2.44e-06,0.001140034,2.44e-05
"NTRK3",0,2.23e-05,2.23e-05,1.74e-05,7.42e-06
"NTSR1",2.56e-06,1.22e-05,1.04e-05,1.81e-06,0
"NTSR2",0,0,0,1.14e-07,0
"NUP210",0.001138091,0.002115135,0.003470662,0.000479509,0.001927728
"OCLN",0.00146424,0.000352669,0.000167323,0.000197314,0.001015989
"OGT",0.006047272,0.003108386,0.003157493,0.005395611,0.001932354
"OLFM4",2.45e-06,0,0,0,0
"OLR1",0,0,0,0.000102686,0
"OMG",0,1.29e-06,0,6.04e-07,5.15e-06
"OPALIN",0,0,0,0,0
"OPCML",1.65e-06,0,1.13e-06,0,4.53e-06
"OPN1SW",0,7.97e-06,0,0,0
"OPN3",0.003397433,0.002309343,0.00159859,0.00730513,0.000679965
"OPN4",0,0,6.25e-05,0,0
"OPN5",4.38e-06,0,0,0,0
"OPRD1",0,0,0,3.83e-06,0
"OPRK1",0,0,0,2.82e-05,0
"OPRL1",0.000200576,0.000148139,0.000164909,4.2e-05,2.24e-05
"OPRM1",0,0,0,0,0
"OR10A2",0,0,0,0,0
"OR10A3",0,0,0,1.41e-06,0
"OR10H1",0.00011041,0,0,5.9e-05,0
"OR10H2",0,0,0,0,0
"OR10V1",0,0,0,0,0
"OR11H12",0,0,1.26e-05,0,0
"OR11H4",2.01e-06,0,0,0,0
"OR13A1",0,0,2.27e-06,5.78e-06,2.27e-06
"OR13C2",0,0,0,0,0
"OR1F1",0,0,0,1.96e-05,0
"OR1F2P",0,1.58e-07,0,0,0
"OR1J2",0,0,0,0,0
"OR1L8",0,0,0,0,0
"OR1M1",0,0,0,0,0
"OR2A7",8.56e-05,3.01e-05,3.35e-06,0.000115273,8.04e-05
"OR2AE1",5.87e-06,0,1.36e-05,0,0
"OR2AG1",0,0,0,5.54e-06,0
"OR2AG2",1.25e-05,7.08e-06,1.77e-06,4.83e-06,0
"OR2B6",0,0,7.93e-06,4.27e-06,1.32e-06
"OR2C1",0,1.52e-06,0,0,0
"OR2D2",0,0,0,0,0
"OR2F1",0,0,0,0,0
"OR2K2",0,0,0,0,0
"OR2S2",0,7.63e-07,7.63e-07,0,0
"OR2V2",0,0,0,0,1.24e-05
"OR4A16",0,0,0,0,0
"OR4A47",0,0,0,0,0
"OR4C6",0,6.71e-06,1.44e-06,0,0
"OR4D10",0,0,3.92e-06,0,0
"OR4F21",9.2e-07,0,0,2.14e-06,0
"OR4K1",0,0,0,0,0
"OR4K14",0,3.73e-06,0,0,0
"OR4N2",0,0,0,0,0
"OR51B2",3.72e-07,0,0,0,0
"OR51B4",0,0,0,0,0
"OR51B5",0,0,0,0,0
"OR51E1",0,2.77e-06,2.77e-06,0,0
"OR51E2",3.54e-06,4.05e-07,0,0,4.05e-07
"OR51I1",0,0,0,0,0
"OR52B2",0,3.75e-07,0,0,0
"OR52E6",0,0,0,0,0
"OR52H1",4.82e-05,0,0,0,0
"OR52I1",0,0,0,0,0
"OR52L1",0,0,0,0,0
"OR52N2",0,0,0,0,0
"OR52N4",0,0,0,0,0
"OR52N5",0,0,0,0,0
"OR56A3",0,0,0,0,0
"OR5A1",0,0,9.12e-07,0,0
"OR5AN1",0,0,1.03e-06,0,0
"OR5AP2",0,0,0,0,0
"OR5AU1",0,0,0,0,0
"OR5B2",0,1.14e-06,0,0,0
"OR5K3",0,0,0,0,0
"OR5M11",0,0,0,1.03e-06,0
"OR5P3",0,0,0,0,0
"OR6A2",0,1.4e-06,6.98e-07,0,0
"OR6T1",0,0,0,3.6e-06,0
"OR6V1",0,0,0,0,0
"OR7C1",0,0,0,0,0
"OR7D2",0,2.54e-07,0,0,0
"OR7D4",0,0,0,0,0
"OR7G1",0,0,0,0,0
"OR7G2",0,0,0,0,0
"OR8A1",0,0,0,0,0
"OR8G2P",0,0,0,0,0
"OR8S1",0,0,0,1.97e-05,0
"OR9A4",0,0,0,0,0
"OR9G4",0,0,0,0,0
"ORAI3",0.000375808,0.000693133,0.00088112,0.001188673,0.000236696
"OSBPL6",2.92e-05,0.000530278,0.000257168,0.000665384,1.82e-05
"OSCAR",1.21e-05,3.09e-05,0,1.4e-05,0
"OSCP1",0.000352944,0.00031851,0.000330694,0.000307076,0.000770209
"OSMR",0.08419766,0.019877529,0.012325734,0.010345839,0.002205767
"OSTM1",0.00346544,0.001004941,0.000839325,0.001131389,0.001033015
"OTOG",0,0,0,0,0
"OTOP1",0,0,0,9.02e-07,0
"OTOP2",0,0,0,3.7e-05,0
"OTOP3",0,0,0,3.44e-06,0
"OXER1",0,6.13e-06,1.23e-05,3.18e-06,0
"OXGR1",0,0,0,0,0
"OXTR",0.001355652,0.000134446,0.000236189,0.000130972,0.00170073
"P2RX1",3.71e-06,1.11e-06,5.53e-06,0,0
"P2RX2",0,0,0,0,0
"P2RX3",0,0,4.58e-06,0,0
"P2RX4",0.001366371,0.000400095,0.000261195,0.000480742,0.000194785
"P2RX6",0,0,4.32e-05,2.29e-05,0
"P2RX7",2.01e-05,3.37e-05,0.000146365,0.000162307,3.24e-05
"P2RY1",9.01e-05,0.000164304,3.88e-06,0.004368802,2.59e-06
"P2RY10",0.00081469,3.73e-05,3.73e-05,3.81e-05,0
"P2RY11",5.08e-05,2.54e-05,4.77e-05,6.01e-05,2.81e-05
"P2RY13",0,0,0,0,0
"P2RY14",0,8.25e-07,0,0,0
"P2RY2",0.000877695,0.000984468,0.000128663,0.001775706,3.7e-05
"P2RY4",1.98e-05,0,2e-05,0,9.99e-07
"P2RY6",0.017146386,0.010820353,0.000139426,0.000588432,5.23e-05
"P4HB",0.025445684,0.014120465,0.010682664,0.011076916,0.00496402
"PACSIN2",0.011880951,0.009875595,0.007201171,0.005812671,0.00448107
"PACSIN3",0.011105957,0.002592483,0.000740149,0.00534686,0.000510581
"PAG1",0.00434461,0.004289349,0.000971009,0.00142353,4.78e-05
"PAK1",0.003214311,0.004270143,0.001186562,0.00402043,0.000738694
"PALM",5.21e-06,0.000805124,0.001149623,0.000575379,0.001040862
"PALM3",0.008607118,0.000130853,0.000828735,0.001971213,1.09e-05
"PAM",0.024726927,0.008558991,0.01063156,0.004692634,0.009469446
"PANX1",0.003084145,0.003568116,0.000916424,0.001143086,0.000252359
"PANX2",0.00047025,0.001220559,0.00041499,0.004501375,7.59e-05
"PANX3",0,0,0,0,0
"PAQR8",2.39e-06,8.76e-05,2.87e-05,3.85e-05,1.23e-06
"PAQR9",1.53e-06,1.3e-06,0,1.51e-06,0
"PARD3",0.019597216,0.007483058,0.00305649,0.013004425,0.001848522
"PARD6A",2.69e-05,5.05e-06,3.88e-06,3.28e-06,2.72e-05
"PARD6B",0.002256464,0.004153702,0.001619941,0.000698609,0.000735705
"PARD6G",6.73e-05,0.00051268,0.000197273,0.001450437,9.29e-05
"PARM1",0.025814242,0.000181236,0.000108742,0.000281379,0.00039872
"PCDH1",0.001034242,0.001018159,0.000185279,0.004577108,0.001179194
"PCDH10",1.58e-06,0,7.16e-07,3.72e-07,3.58e-07
"PCDH11X",2.82e-06,0,0,0,0
"PCDH12",2.07e-05,1.15e-05,1.39e-05,4.16e-06,1.81e-06
"PCDH15",0,0,1.68e-06,6.33e-05,0
"PCDH17",6.42e-05,4.44e-05,5.11e-05,1.65e-05,2.44e-05
"PCDH18",1.27e-05,1.83e-05,1.42e-05,1.11e-05,4.73e-06
"PCDH19",0.00058246,0.000527975,0.000545872,0.00010498,0.000411641
"PCDH20",0.001222518,0,0,3.23e-05,0.001246649
"PCDH7",0.000189809,0.006940883,0.00306201,0.000364606,9.34e-05
"PCDH8",0.000111536,5.4e-06,0,9.3e-06,0
"PCDH9",1.43e-05,0.000210651,0.002676053,1.31e-05,0
"PCDHA1",6.23e-05,0,0,9.01e-05,0
"PCDHA10",0.000231347,0.001444631,0.004788542,0.002284478,0.000126518
"PCDHA11",4.99e-05,2.45e-05,2.84e-05,3.95e-05,1.32e-05
"PCDHA12",0.000157248,2.86e-06,4.06e-05,0.000241207,0.00010529
"PCDHA13",3.69e-05,2.95e-06,1.25e-05,3.6e-06,4.32e-06
"PCDHA2",1.32e-05,0,3.49e-06,2.46e-05,0
"PCDHA3",5.35e-05,0,1.21e-05,0.001133514,0
"PCDHA4",1.55e-06,9.48e-06,2.61e-05,1.3e-05,2.45e-05
"PCDHA5",0,4.48e-07,2.69e-06,9.05e-05,1.06e-05
"PCDHA6",0.000212826,1.43e-06,2.86e-06,0.000162523,2.15e-06
"PCDHA7",6.93e-05,2.65e-06,2.34e-05,4.88e-05,5.58e-05
"PCDHA8",2.66e-06,0,1.54e-06,4.86e-06,0
"PCDHA9",4.21e-06,0,8.59e-07,6.57e-06,2.53e-06
"PCDHAC1",7.57e-05,7.15e-05,9.86e-05,6.01e-05,0.000146411
"PCDHAC2",0.00036643,0.001063669,0.00073082,0.00057665,0.001933872
"PCDHB1",7.91e-06,0,5.91e-05,3.44e-06,2.36e-05
"PCDHB10",0.000432997,2.36e-05,0.000927793,0.000237137,0.000221119
"PCDHB11",6.02e-05,5.54e-06,0.000350658,6.18e-05,0.000187446
"PCDHB12",0.005526423,3.29e-05,0.001708217,0.001074252,0.001039861
"PCDHB13",0.000415771,1.53e-05,0.000713344,0.000198787,0.000219602
"PCDHB14",0.00162914,2.82e-05,0.001007506,0.000266766,0.000236494
"PCDHB15",0.000265386,4.64e-05,0.000232149,0.000850266,0.000831296
