"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"CLDN6",3.75e-06,6.21e-05,1.56e-07,0.000846618,0.000151102,3.11e-07,4.54e-05,1.5e-07,1.28e-07,4.5e-07,0.000172548,2.21e-07
"CLDN7",0.004039299,0.001180059,0.002459016,0.003567603,0.005113419,0.001356186,0.006873072,0.004134877,0.0098963,0.002860546,0.001094747,0.004659756
"CLDN8",0,0.000109359,2.46e-05,3.85e-06,0,0.000193032,3.08e-05,0,0,0.000157964,0,0.000577
"CLDN9",0.000948956,0.000560144,0.000316505,0.006127206,0.005161992,0.000709738,0.003460751,0.003026659,0.000405302,8.36e-05,2.88e-05,7.36e-05
"CLDND1",0.00616287,0.002164886,0.017857007,0.001991038,0.004682035,0.00891739,0.008722929,0.006723494,0.012098308,0.005640399,0.036315263,0.018172377
"CLEC12A",0,0,0,0,0,5.9e-05,0,0,0,0,0,0
"CLEC12B",0,0,0,0,0,0,0,0,0,0,0,0
"CLEC17A",0,0,0,0,0,0,0,0,0,0,0,4.07e-05
"CLEC1A",1.81e-05,0,0,9.66e-06,0,1.14e-05,0.000241415,0.000151315,0,5.37e-05,1.71e-05,0
"CLEC1B",0,0,0,0,0,0,0,0,0,0,6.91e-05,0
"CLEC2A",0,0,0,0,0,0,0,0,0,0,0,0
"CLEC2B",0.000529136,0.000190394,5.49e-05,0,0,0.00098794,0.000506874,0.004813092,0.015918622,0.002337613,0.000955019,0.034594113
"CLEC2D",0.000159017,5.86e-05,0.000161865,0.000301126,0.000415363,0.00018234,0.000899252,0.000457904,0.00131102,0.000217344,6.94e-05,0.000352007
"CLEC2L",0,0,0,3.91e-05,0,0,1.4e-06,5.28e-06,0,0,0,0
"CLEC4A",1.42e-05,3.68e-06,3.34e-05,3.66e-05,1.77e-05,1.52e-05,4.7e-05,0,3.13e-05,1.84e-05,0,2.84e-05
"CLEC4E",0,0,0,0,5.1e-07,0,0,0,0,0,7.28e-07,0
"CLEC4F",0,5.53e-05,0,0,0,0,1.71e-05,0,0,0,0,6.61e-06
"CLEC4M",0,0,0,0,2.11e-06,0,0,0,2.47e-06,0,0,0
"CLEC5A",0,0,0,0,0,3.63e-07,8.5e-07,0,0,0,0,0
"CLEC6A",0,4.2e-06,0,0,0,0,5.89e-06,0,0,0,0,0
"CLEC7A",0.011705046,0.003840839,0.000361669,0.002421157,0.00175293,0.002543358,0.019612614,0.025014292,0.000973868,0.002789145,0.00532004,0.002855551
"CLIC4",0.003618067,0.001828068,0.0065011,0.001022328,0.00447842,0.001525278,0.008519521,0.00481065,0.00496141,0.001151065,0.001805427,0.003979503
"CLMP",0.051978683,0.000215808,0.000611822,0.000111465,0.000360081,0.005698684,0.000202663,0.022126119,0.008633462,0.000215808,0.0094745,0.033423966
