"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"LPAR1",0.000311033,3.72e-05,0.000481928,0.000392299,0.000704052,0.000998642,0.000514399,2.08e-05,0.001667298,0.000186367,0.000217944
"LPAR2",0.000647009,0.000221982,0.000404745,0.000587151,0.000314903,0.002305193,0.000657165,0.0003553,0.000178527,0.000539072,0.000228837
"LPAR3",0,3.37e-06,0,0.000109035,0.000116574,0.000531997,0,0,0.000715522,6.83e-05,5.89e-06
"LPAR4",1.16e-05,0,3.88e-06,3.28e-05,3.69e-05,6.62e-06,1.55e-05,1.97e-05,0,6.15e-06,1.31e-05
"LPAR5",6.81e-06,5e-06,0.000125206,1.95e-06,9.84e-05,4.25e-05,6.39e-05,1.95e-06,7.77e-05,3.28e-05,1.95e-06
"LPAR6",6.86e-05,0.000107558,3.12e-05,0.000944873,0.002339559,0.004025349,4.99e-05,0.000221556,9.48e-06,0.000556436,0.000162909
"LPL",1.55e-06,3.37e-05,3.1e-06,3.94e-05,0.000300034,0.000468913,1.86e-05,1.28e-05,0,4.13e-05,4.04e-05
"LPO",1.54e-06,0,3.09e-06,6.57e-06,3.04e-06,9.55e-06,1.54e-06,0,3.04e-06,7.61e-06,0
"LPP",0.01435258,0.008927476,0.01093918,0.008309077,0.006286049,0.037302654,0.008615556,0.009465972,0.002766001,0.014629224,0.005859
"LRFN1",8.18e-05,0.000504236,9.81e-05,0.000215461,0.001400278,0.000945442,0.00017988,0.002165669,0,0.001121836,6.73e-05
"LRFN2",0,1.11e-05,0,0.000283051,2.16e-05,0.00023245,0,5.15e-05,0,0,2.57e-05
"LRFN3",0.000810007,7.18e-05,0.000552939,0.000220773,0.000605437,0.000685934,0.001008871,0.000477965,0.000441231,0.00095105,0.000411962
"LRFN4",0.004177774,0.002256825,0.013259745,0.001023877,0.003396121,0.007522751,0.014082825,0.0022184,0.002810583,0.011292519,0.002194022
