"","s161_P3_258","s217_P2_360","s220_P3_264","s243_P2_408","s259_P1_379","s282_P2_631","s284_P2_534","s295_P2_794","s306_P2_685","s364_P2_972","s732_P2_199"
"AAK1",1.292310519,0.459271524,1.840537341,0.897175806,0.467522218,0.416062533,0.463413422,1.578298318,0.448339906,0.660133694,0.551488193
"AAMP",1.874655196,0.781241466,2.102693239,0.995476231,1.036490973,1.922263298,1.517923046,0.845593358,0.627118524,1.535589458,1.104141767
"AATK",0.00666565,0.011498841,0.001999695,0.026472893,0.007435964,0.01667332,0.453930077,0.022292962,0.00608397,0.035151829,0.011146481
"ABCA1",0.364893942,0.534022359,0.301813714,0.979629957,1.648196811,0.437758471,0.136976993,1.450443493,0.092843704,3.03036546,0.344137248
"ABCA10",0,0.000536483,0,0.005530874,0.006414628,0,0.029012178,0,0.016495215,0,0.000850904
"ABCA12",0.75656741,0.091319401,0.356687398,0.26363872,0.739950449,0.559248009,3.327224631,0.196039049,0,0.477776864,0.210910976
"ABCA13",0.213370744,0.243012003,0.007951705,0.288630301,3.105035645,0.006437404,0.037770598,0.12092811,0.056602558,0.044196518,0.001140831
"ABCA2",0.074454067,0.558501886,0.112745156,0.105840898,0.439948639,0.41978398,0.323768829,1.133523355,0.51877952,0.063841534,0.11729559
"ABCA3",0.478829232,0.161991481,0.152307337,0.209760737,0.072431703,0.256836235,0.019820818,1.934265321,0.063652102,0.940148869,0.165374506
"ABCA4",0.529981428,0.544784268,0.270398688,0.048295709,0.677895906,0.050159165,0.000675997,0.05117042,0.027995729,0.095984689,0.040245945
"ABCA5",0.058182393,0.164334569,0.053619068,0.298520338,0.411188379,0.168973726,0.744962792,0.069783975,0.346011272,0.036210398,0.199272018
"ABCA6",0,0,0,0.001362302,0.008899635,0,0.007958032,0,0.005417556,0,0
"ABCA7",0.177776824,0.077433081,0.229127293,0.201180767,0.234825563,0.187624675,0.082015596,0.187233806,0.233917998,0.326398113,0.209229092
"ABCA8",0.000715907,0.001043201,0.000715907,0.002191242,0.005031808,0.00701657,0,0,0.004196671,0.007054603,0.003658167
"ABCA9",0.001149884,0.00202799,0,0.004002723,0.009760138,0.002213213,0.003449652,0.000666565,0,0.017548741,0.00399939
"ABCB1",0.003877663,0.025098287,0.008529153,0.03862362,0.100058951,0.014830806,0.004652265,0.005632729,0.004638494,0.032469461,0.008851431
"ABCB11",0.001552646,0,0.000517549,0.048106255,0.005335666,0,0.000517549,0,0.00492523,0.020111357,0.011370569
"ABCB4",0.004736363,0.015448518,0.000789394,0.029884712,0.02026006,0.074152888,0.001578788,0.005433584,0.001125559,0.013506707,0.378540585
"ABCB5",0,0,0,0.001609175,0.000780729,0,0,0,0,0,0
"ABCB6",0.355627039,0.27685574,0.25852206,0.212636467,1.144926091,0.255083445,0.608653377,0.127157768,0.689985384,0.367444866,0.394880873
"ABCC1",0.017953796,0.004704915,0.015927424,0.001660528,0.016123572,0.009414012,0.030423025,0.011413236,0.00635362,0.009123132,0.003046321
"ABCC10",0.000162187,0.000204266,0.000325666,0.000114061,9.01e-05,0.000432562,0.000144549,0.000321447,0.000147495,0.000941978,0.000319965
"ABCC11",2e-05,8.07e-05,4e-05,0.000150811,0.000146303,2.93e-05,0.000180046,0.000234595,0.000120478,6.88e-05,0.000117297
"ABCC2",0.000228225,0.000258258,4.03e-05,0.005077239,0.000357417,2.77e-05,0.02519913,7.61e-05,3.53e-05,0.000445668,3.04e-05
"ABCC3",0.080902278,0.015904102,0.039030302,0.062219967,0.011708539,0.052360983,0.150194805,0.069214404,0.02270146,0.028697921,0.035539793
"ABCC4",0.004704512,0.002021939,0.006233667,0.002114395,0.001105466,0.03420064,0.004283541,0.001540407,0.00317051,0.001686897,0.00364307
"ABCC5",0.00218205,0.008483325,0.004098727,0.004223658,0.011251574,0.018453204,0.0012876,0.005017752,0.003160557,0.006049501,0.006065035
"ABCC6",0.000330052,0.003368806,3.05e-05,5.89e-05,0.000491249,0.003300989,0.000841229,0.008385607,1.23e-05,0.001501467,0.002296651
"ABCC8",0,4.87e-06,0,7.49e-06,1.61e-05,1.35e-05,0,0,0,0,0
"ABCC9",0.000552194,2.27e-05,7.69e-05,5.28e-05,0.000105226,5.41e-05,2.95e-05,3.01e-05,1.09e-05,0.002215684,4.62e-05
"ABCG1",0.021640532,0.092354727,0.02009478,0.089338381,0.141298281,0.094054502,0.288282035,0.018774008,0.02593239,0.042555718,0.853199017
"ABCG2",0.020992858,0.049804622,0.005419347,0.025533955,0.075170189,0.016601541,0.058596693,0.038665703,0.00384393,0.08542067,0.011672665
"ABCG4",4.04e-05,6.5e-05,6.06e-05,0.00016638,0.000240883,3.25e-05,4.04e-05,5.55e-05,2.83e-05,0.000155865,4.16e-05
"ABCG5",0,1.94e-05,0,0,0,6.48e-06,0,0,0,0,0
"ABCG8",0,1.2e-06,0,0,0,0,0,0,0,0,0
"ABHD2",5.725308049,2.684364879,6.434599251,1.538439455,1.863308778,1.113401349,15.48633125,5.313431513,1.99132081,2.908283588,2.247709311
"ABI1",0.816189024,0.463630973,0.906242704,0.67926978,1.647351512,0.897423421,0.862658407,1.102685311,0.610420038,1.140624622,1.097753037
"ACE",0.001893995,0.00479568,0.004118359,0.015381627,0.007039127,0.005703003,0.002048157,0.00207986,0.002352643,0.008563603,0.003359713
"ACE2",3.85e-05,0.000173733,3.21e-06,0.001168286,0.000177568,2.75e-05,0.000223375,0.000284414,7.46e-06,0.00041333,1.97e-05
"ACHE",7.12e-05,0.001561061,1.26e-05,0.000468082,2.57e-05,0.000235505,0.000209489,9.78e-05,9.9e-06,0.000100981,1.15e-06
"ACKR1",0,0,6.06e-05,0,0,0,0,0,0,0,0
"ACKR2",2.1e-05,0.001388833,0.003078338,0.000104225,0.005084589,0.000493401,0.000356391,0.011199681,3.58e-05,0.02926133,0.002710078
"ACKR3",0.000117747,0.000126744,0.000103029,0.000332055,0.005147259,0.000549224,0.000198698,4.64e-05,3.34e-05,0.000258122,0.000260645
"ACKR4",5.97e-05,3.62e-06,2.98e-06,5.14e-06,1.4e-05,0.000406234,0,0,0,6.98e-06,0
"ACTN1",0.00998408,0.041734306,0.014604277,0.033879808,0.022194573,0.111183267,0.011820891,0.01374506,0.041890966,0.032513672,0.01454236
"ACVR1",0.003595296,0.001910357,0.003720592,0.007603934,0.004064986,0.003588259,0.002251846,0.003451431,0.002524993,0.004088856,0.002732377
"ACVR1B",0.040803141,0.017878338,0.032609034,0.024168837,0.015444044,0.065315189,0.053743409,0.032801263,0.006632411,0.046230395,0.028504515
"ACVR1C",0.000258029,4.85e-05,8.85e-05,3.81e-05,0.000379596,0.000145555,2.53e-06,0,1.59e-05,0.00052633,0.0004141
"ACVR2A",0.008972708,0.010510798,0.009019152,0.011294242,0.023541066,0.027417943,0.007670929,0.006093801,0.005282107,0.013074765,0.018440829
"ACVR2B",0.016105165,0.020379985,0.016779335,0.006116141,0.01787475,0.140343989,0.021049076,0.009683889,0.008420337,0.059616207,0.024464562
"ACVRL1",0.003723307,0.007954358,0.002351563,0.005736396,0.005231019,0.008890165,0.002939453,0.002415325,0.000257263,0.005488283,0.001811493
"ADA",2.49e-06,1.46e-05,6.65e-06,4.18e-05,5.8e-05,0.000147345,7.65e-05,0,5.8e-06,7.73e-06,0
"ADAM10",0.004253483,0.004620392,0.009964436,0.006244851,0.018241838,0.012033044,0.009202814,0.007150484,0.019407909,0.018665941,0.004032543
"ADAM11",1.15e-06,2.7e-06,7.48e-06,1.41e-05,1.71e-05,1.01e-05,0,9.42e-06,3.94e-06,9.73e-05,6.28e-06
"ADAM12",3.19e-06,1.08e-06,2.19e-06,2.11e-06,2.66e-06,4.16e-06,3.16e-05,7.21e-07,7.76e-07,3.94e-06,9.98e-07
"ADAM15",0.022921204,0.015118418,0.018115603,0.018953482,0.01168348,0.031536135,0.015195996,0.117711864,0.023233343,0.026151871,0.015483663
"ADAM17",0.32125452,0.113024517,0.322816301,0.075075382,0.098414821,0.800841365,0.194464898,0.300229709,0.047856411,0.246605639,0.09098663
"ADAM19",0.003322214,0.000710354,0.037190339,0.008889391,0.003215497,0.002367846,0.004707208,0.001391383,0.001151227,0.003413985,0.001236785
"ADAM2",0,1.91e-05,0,0,0,0,0,0,0,0,0
"ADAM20",0,2.78e-06,6.92e-06,0,2.42e-06,2.78e-06,1.73e-05,0,4.85e-06,2.42e-06,0
"ADAM21",8.78e-07,0,0,0,9.29e-07,7.65e-07,4.39e-07,0,0,4.64e-06,0
"ADAM22",8.3e-05,0.000154163,3.98e-05,3.11e-05,0.000663628,0.000810896,0,7.78e-06,0.000216829,1.97e-05,0.000606513
"ADAM23",0.000126631,0.000337232,0.000196496,0.000539963,0.000844703,0.000407224,0.000301294,0.000218663,9.21e-05,0.00087542,0.000307913
"ADAM28",2.09e-05,2.62e-05,6.77e-05,5.4e-05,9.7e-05,7.93e-05,1.21e-05,5.27e-05,7.89e-05,0,1.25e-05
"ADAM29",0.000303731,0.000148962,0,0,8.65e-05,0.000148962,0,0,8.65e-05,0,0
"ADAM30",0,0,0,0,0,1.1e-05,0,0,0,0,0
"ADAM32",4.6e-06,8.41e-06,4.6e-06,3.11e-05,0.000171221,7.29e-06,8.54e-05,3.33e-06,1.25e-05,1.51e-05,2.89e-05
"ADAM8",0.196962826,0.037860251,0.285057373,0.011239562,0.032524843,0.103251699,0.013854174,0.148328994,0.024545684,0.062314062,0.005813566
"ADAM9",0.012214551,0.000856737,0.034135813,0.00345274,0.000869823,0.006009089,0.006960565,0.010533171,0.011451377,0.008246546,0.002592629
"ADAP1",0.042701392,0.017620354,0.015491675,0.003661093,0.010142679,0.007912052,0.045674804,0.004562526,0.001050322,0.000789231,0.003127551
"ADAP2",4.02e-05,1.65e-05,9.1e-05,5.26e-05,5.38e-05,2.41e-05,7.8e-05,0.000102403,1.17e-05,0.000668855,4.43e-05
"ADCY1",3.08e-05,1.34e-05,0.000820066,3.69e-05,3.66e-05,0.000740642,0.00082219,1.09e-05,1.88e-06,6.56e-06,6.83e-06
"ADCY2",0.000293874,0.000167562,0.000326526,0.001258129,0.000716352,0.000143625,0.000489789,0.000164104,4.21e-05,0.000337107,0.000328208
"ADCY3",0.003390013,0.000324291,0.001995657,0.002185214,0.002401333,0.010284658,0.002621746,0.00351646,0.00208883,0.009159138,0.001521777
"ADCY4",0.000230276,0.000418889,0.000140158,0.001477235,0.000533654,0.000306097,0.000695223,0.000212996,4.92e-05,0.000407255,0.000116804
"ADCY5",8.78e-05,0.000171895,0.000140461,0.000199728,0.00040252,0.015271631,0.000691335,0.001719158,4.33e-06,9.09e-05,4.29e-05
"ADCY6",0.000493317,0.000316715,0.000263867,0.000363554,0.000393981,0.00138293,0.000929272,0.001831337,2.33e-05,0.000140093,0.000319693
"ADCY7",0.001279838,0.0014648,0.000980148,0.00103932,0.001080136,0.000976534,0.002887568,0.000817351,0.002381956,0.002126076,0.000607404
"ADCY8",0,0,0,0,1.01e-05,0.000510888,0,0,0,0.000191536,0
"ADCY9",0.00040192,0.003309629,4.71e-05,0.000418235,0.000359546,0.000863249,0.000377847,0.003529873,2.45e-06,0.001212393,0.000330524
"ADCYAP1R1",1.99e-05,4.39e-05,7.96e-05,8.26e-05,0.000127551,4.39e-05,2.99e-05,1.03e-05,0,0.000119047,3.1e-05
"ADD1",0.005357154,0.00493876,0.004992392,0.001604232,0.010055947,0.016280297,0.002673397,0.002892753,0.008823994,0.008578141,0.003381752
"ADD2",5.03e-05,0.000317819,1.01e-05,0.000526932,0.000175472,0.000334999,4.02e-05,0,1.6e-05,8.77e-05,6.8e-05
"ADD3",0.001534754,5.98e-05,0.002788193,0.000603857,0.000839233,0.001025441,7.47e-05,9.12e-05,0.000704246,0.000989648,2.79e-05
"ADGRA1",0,2.24e-06,0,0,0,0,0,0,0,0,0
"ADGRA2",0.001084702,0.000589793,0.000820855,0.001196835,0.001629674,0.000624487,0.001084702,0.000467729,0.000459479,0.001748196,0.000481485
"ADGRA3",0.031431088,0.018121197,0.040521033,0.013391277,0.018958549,0.070901619,0.015215162,0.00080955,0.01810208,0.028722548,0.023308301
"ADGRB1",6.72e-05,0.000546262,0.002619656,0.000391053,0.00058204,0.000610528,0.001612013,0,5.54e-05,2.77e-05,0.00029329
"ADGRB2",0.000204658,0.000786996,0.001569043,0.004169441,0.002155287,0.009756429,0.000511645,0.031065271,0.011654513,0.003193017,0.000117449
"ADGRB3",0,0,0,0,0.000125375,0,0,0,0.000219406,0.000188062,0
"ADGRD1",1.81e-05,0.000402667,0.000200761,0,6.06e-05,0.000100665,1.02e-05,5.17e-05,9.93e-07,0,3.65e-05
"ADGRD2",0,0,0,0,0,4.66e-06,0,0,0,0,0
"ADGRE1",3.25e-07,5.36e-06,5.92e-05,0,0,0,0,2.77e-07,0,1.6e-06,0
"ADGRE2",3.04e-06,1.82e-06,3.71e-05,0,3.49e-05,0,0.000906029,0,0,4.41e-06,4.16e-06
"ADGRE3",0,5.43e-05,0,0,0.000159343,0,0,0,0,0,0
"ADGRE4P",0,0,0,0,0,0,0,0,0,8.63e-06,0
"ADGRE5",0.049970612,0.035119402,0.099872311,0.015177374,0.022239071,0.011276786,0.035171214,0.0238017,0.032144484,0.049139605,0.015856213
"ADGRF1",0.068565915,0.018512041,0.076710827,0.203091885,0.112529986,0.02985585,0.004823998,0.526122875,0.01785851,0.245644165,0.019941643
"ADGRF2",0.000678516,0.002231532,0.00131712,0.000331367,0.000102329,0.000587245,0.001835985,0.00049705,3.41e-05,3.41e-05,0
"ADGRF3",2.14e-05,0.000104037,7.12e-06,0,2.48e-05,3.47e-05,0,2.12e-05,0,4.97e-05,1.82e-05
"ADGRF4",0.002897465,0.000193175,0.006847399,0.002056431,0.000524498,9.05e-05,0.00046096,0.001137085,0.000885516,0.000669813,0
"ADGRF5",0.0530346,0.227900939,0.066200242,0.099545518,0.000774641,0.240738211,0,0.634951698,0.096450111,0.018342388,0.281940876
"ADGRG1",0.036463842,0.055874289,0.064453965,0.176889476,0.145270891,0.116421231,0.054981218,0.124941838,0.032420729,0.000196489,0.072042705
"ADGRG2",0,4.13e-05,0.000214212,4.03e-05,0.000425179,0.000418723,3.06e-05,1.51e-05,0.006282417,0.00018222,5.04e-06
"ADGRG3",0,1.29e-06,0,1.2e-05,5.04e-06,7.77e-06,1.1e-06,3.01e-06,0,2.52e-06,3.01e-06
"ADGRG4",0,0,0,0,0,0,0,0,0,0,0
"ADGRG5",0,0,1.54e-06,0,0,1.35e-06,0,1.92e-06,0,9.21e-06,0
"ADGRG6",0.003229955,0.001153662,0.010422407,0.001233951,0.001303359,0.005868172,0.002114852,0.002252022,0.004058427,0.004841687,0.001644376
"ADGRG7",0,0,0,0,2.12e-05,7.33e-06,0,0,0,0,0.003868684
"ADGRL1",0.000147921,0.000204752,0.000160247,0.000344535,0.000122796,0.000217355,0.000352307,0.001800724,3.52e-05,0.000273221,0.000120641
"ADGRL2",0.011995451,0.017399036,0.037802298,0.008844932,0.020285067,0.074619097,0.023524579,0.002348212,0.033874514,0.019307444,0.002348212
"ADGRL3",0.001562971,5.72e-05,9.56e-05,0.000140638,9.77e-05,0.00200501,0.00018854,1.5e-05,0.000498259,0.000661166,2.81e-05
"ADGRL4",0,0,1.04e-06,0,0,0,0,8.88e-07,1.03e-05,8.85e-05,0
"ADGRV1",2.51e-05,0.002606878,0.000117008,0.00054532,0.001220277,0.00085925,5.85e-05,0.000261299,0.002776573,0.000453925,0.002953813
"ADIPOR1",0.066267544,0.0644381,0.080495959,0.121342713,0.076731882,0.088318973,0.093256479,0.225138269,0.06827329,0.072569521,0.12834991
"ADIPOR2",0.354622274,0.126834776,0.290145852,0.075369966,0.139243021,0.222958521,0.437698122,0.168615677,0.105788605,0.247771898,0.0929108
"ADORA1",0,0.003777764,2.98e-05,0.022535793,0.00300456,0.017195341,0,0,0,0.003039497,0.01540961
"ADORA2A",0,2.23e-05,2.57e-05,5.08e-05,8.12e-05,6.99e-05,1.35e-06,0.000166135,0,0.00109446,0.000264482
"ADORA2B",0.005802192,0.001105844,0.005309999,0.003814916,0.004026723,0.001916796,0.001230481,0.002847073,0.00594097,0.013290169,0.002024406
"ADORA3",0,0,0,0,2.63e-06,0,0,8.41e-06,1.32e-06,0,0
"ADRA1A",0,0.003488717,0,0,0.000682609,0.006278435,0,0,0,0,0.040781879
"ADRA1B",0.050617723,0.032518245,0.250196174,0.035083374,0.012532282,0.00553502,0.004338662,0.001403335,0.026854889,0.001193551,0.000701667
"ADRA1D",0,0.000845941,0,0.001199335,0.013857388,0.010151291,0,0.002398671,0,0,0
"ADRA2A",0.01135241,0.008322396,0.025542924,0.215142274,0.014650329,0.011963444,0.024123872,0.003565894,0.001831291,0.046392709,0.098656402
"ADRA2B",0,0.004478677,0,0.006337343,0.00106004,0.011644559,0.003782933,0.002263337,0.00106004,0.003710139,0.000452667
"ADRA2C",0,0.001720635,0,0.003669023,0.001499848,0.002580952,0,0.004402828,0.000749924,0.000749924,0
"ADRB1",0.001478179,0.105111318,0.001478179,0.001257207,0.032066219,0.05636404,0.00073909,0.018229497,0.005101444,0.002915111,0.03017296
"ADRB2",0.049235874,0.017158942,0.165760776,0.008923643,0.135439593,0.040037531,0.004923587,0.025655473,0.364645058,0.011576034,0
"ADRB3",0,0,0,0,0,0.001419051,0,0,0,0,0
"AGRN",7.876200508,1.875669409,12.73269011,1.867491849,3.329890602,6.313837255,7.284505631,8.346383742,6.211019073,2.765432531,3.298643276
"AGTR1",0.000926219,0.00161396,0.000926219,0.003777086,0.025478735,0.009145773,0.002778658,0.007554173,0,0.000653301,0.010701745
"AGTR2",0,1.505943903,0,0,0.001303937,0.001185783,0.00099324,0,0,0.005215748,0.001020171
"AHNAK",11.84710683,4.675399247,9.523171726,5.452730169,24.25777797,1.500461825,4.790452531,12.74261764,62.39312534,22.09198073,1.35182296
"AHNAK2",6.530138755,0.260937346,6.45344115,3.007832296,4.147888209,0.083764913,5.667253267,0.215535054,9.629237052,0.279469899,0.040621906
"AJAP1",0,0,0,0,1.93e-07,0,0,0,0,0,1.43e-06
"AKAP11",0.541573492,0.395073928,1.350620709,0.347001943,0.456524882,0.863866313,0.837016592,0.233887557,0.663198208,0.385694149,0.282785964
"ALCAM",4.97832189,1.312088918,2.575565383,1.235957717,4.476963523,4.17074845,1.217627358,0.060056681,16.72207656,7.837780828,5.938085414
"ALG10B",0.198653842,0.096167943,0.245568011,0.188030465,0.240571428,0.160664236,0.086682861,0.274922355,0.200554739,0.290862463,0.408211547
"ALK",0.001193551,0.046310054,0.000596775,0.015913184,0.001446221,0,0.002983877,0,0.04483284,0,0
"ALOX15B",0,0.776450408,0.006872815,0.000536483,0.001813318,0.035738378,0,6.535895558,0,0.007253271,0.613737095
"ALPI",0,0,0,0,0,0,0.012242056,0,0,0,0
"ALPL",0,1.533006687,0.003258439,0.279062296,0.053126116,0.50158309,0.00162922,0.420605913,0,0.001154916,0.022807976
"ALPP",0,0.037263112,0.003641048,0,0.002377263,0,0.006241797,0.002828169,0.03565894,0.002377263,0.007095257
"AMER1",0.051847296,0.033098606,0.056036976,0.075231102,0.076419249,0.12479069,0.029851473,0.200026224,0.001661288,0.085141011,0.134530912
"AMER2",0.000952285,0.000931815,0,0.005462333,0,0.000931815,0.002856854,0.002184933,0,0.006789085,0
"AMHR2",0.004309915,0.00191268,0.001077479,0,0.00381159,0,0,0.013145844,0,0.008712207,0
"AMIGO1",0.015182073,0.157925213,0.008097105,0.025159552,0.151943312,0.322026272,0.012145658,0.329590132,0,0.087193255,0.203792372
"AMIGO2",6.401054459,0.226356769,8.294096371,1.157438643,0.462740366,1.068807946,1.440561535,1.145990786,1.418457089,1.666620462,0.01024282
"AMN",0.069574548,0.046801269,0.102652113,0.043049871,0.091990701,0.024777143,0.777943817,0.014871774,0.023197655,0.147185122,0.014089049
"AMOT",6.93e-05,0.000337057,4.52e-05,3.95e-06,2.89e-05,0.000226893,3.7e-06,0.000997807,5.6e-07,3.23e-05,5.57e-05
"AMPH",0,0,0,0.000368943,0.004026146,0.125620905,0,0.005165208,0.001006536,0.001006536,0.034680681
"ANGPT1",0.041294527,0.032020565,0.014803698,0.20379468,0.054436122,0.028208593,0.022595119,0.007150691,0.019996943,0.241115359,0.008044527
"ANK2",0.000302288,0.000180443,7.56e-05,0.000295928,0.000159148,0.000157894,0.000108635,3.88e-05,4.96e-05,0.000179819,5.82e-05
"ANK3",0.000165438,0.000119557,0.000216892,0.000264619,0.000365853,0.000537891,0.000218861,0.001100562,8.96e-05,0.000537331,0.00043295
"ANKH",2.38e-05,3.07e-05,2.84e-05,0.000542023,0.000303726,0.0008409,2.97e-05,4.11e-05,1.36e-05,0.000109007,6.56e-05
"ANKRD13A",1.735723848,0.755982711,1.034947036,0.317217935,0.763962759,1.284012898,0.428541901,2.645732561,0.817301581,3.42749441,0.538445572
"ANKS1B",1.36e-07,8.43e-08,4.54e-08,0,2.69e-07,3.33e-06,0,1.81e-06,0,8.98e-08,0
"ANO1",0.004121746,6.71e-05,0.003758813,0.003007303,0.009109364,0.005656994,2.59e-05,0.00387428,0.063740917,5.26e-05,2.71e-05
"ANO2",0,1.14e-05,0,0,2.22e-05,3.43e-05,0,2.65e-05,0,2.22e-05,0
"ANO3",0.00014542,0.000322677,0.000181775,0.000477671,0.001726998,0.00023663,0.058277108,0.000341194,1.84e-05,0.000220468,6.82e-05
"ANO4",3.04e-05,0.00021218,3.04e-05,0.001966494,7.79e-05,0.000610018,9.13e-05,0.001323602,0,0.000337381,0.000151269
"ANO5",0,0.0004498,0,0.000238943,1.32e-05,0,0.000102336,0,0,2.64e-06,0
"ANO6",0.006598156,0.000288906,0.006204531,0.002241133,0.001767647,0.004805713,0.003172154,0.014106721,0.003614774,0.004502719,0.004672083
"ANO7",0.004421012,2.35e-05,0.002242542,0.00042935,0.000220496,0.001643997,0.001153307,0.001180713,0.002563265,0.000799298,0.002898114
"ANO9",0.000248392,0.000365758,0.000568528,6.53e-05,9.18e-05,0.00017335,0.00021959,0.000215472,4.48e-05,0.000122889,0.00010012
"ANOS1",0,0.005097476,5.28e-05,5.61e-06,0.001346136,0.010439631,0,0,0.000110552,0.000273129,0.005412869
"ANPEP",0.000245486,0.218580093,0.00765099,0.000934128,0.014755512,0.042864983,0.009164822,0.571131516,0.000349657,0.016503831,0.000254762
"ANTXR1",0.000125292,0.001595787,0.0001294,0.000266028,0.009468404,0.008414899,0.000172533,8.23e-05,0.010747198,0.001059998,0.003621136
"ANTXR2",0.000529454,9.62e-05,0.001220727,0.001093899,0.00022354,0.000520967,0.000120805,0.001981114,0.002483568,0.000838571,0.00075237
"ANXA1",0.224160826,0.020284394,0.127804636,0.021531029,0.104600602,0.106490372,0.08620054,0.034067412,0.08995305,0.25294468,0.023932696
"ANXA13",0,2.89e-06,0,0,1.12e-05,4.72e-05,1.64e-06,6.71e-06,1.87e-06,1.87e-06,0
"AOC1",0.000214136,8.32e-07,4.12e-05,5.25e-07,8.86e-06,0.00061606,6.27e-06,0,0,8.86e-07,0
"AOC3",5.42e-05,8.25e-05,0.000106921,0.000424691,0.000299847,0.000240633,0.000664412,6.29e-05,7.47e-05,0.000505902,8.86e-05
"AP2M1",0.014545781,0.011667758,0.012460694,0.004966377,0.007622293,0.050064644,0.012981174,0.007649559,0.003827751,0.01279647,0.005253534
"AP2S1",0.001575992,0.001013119,0.00116231,0.002375041,0.005809291,0.003757273,0.001476009,0.004299363,0.002409687,0.002082342,0.00209928
"APBB1",2.52e-05,0.000378881,2.15e-05,0.000199744,0.000152398,0.000436066,3.09e-05,2.96e-05,8.11e-05,9.98e-05,3.92e-05
"APBB1IP",0.000345773,0.000727507,0.000229302,0.001776512,0.001887579,0.000534931,0.000356692,0.000531688,0.000141127,0.003572287,0.000535907
"APCDD1",2.13e-05,3.17e-05,2.9e-05,0.000181813,0.000425373,0.000703561,1.55e-05,3.64e-05,0.000452814,1.37e-05,4.85e-05
"APLNR",8.47e-06,7.15e-06,6.16e-06,6.76e-05,0.000112738,4.72e-05,8.47e-06,6.31e-06,4.57e-06,3.35e-05,8.11e-06
"APLP1",0.001320848,0.002810681,0.001278917,0.004756662,0.00149941,0.002810681,0.000230624,0.000449955,0.004473675,0.001917279,0.000557087
"APLP2",0.156156767,0.150350797,0.166691419,0.072336576,0.352499496,0.172493481,0.036282292,0.239265324,0.306796451,0.387958074,0.159785858
"APP",0.172056503,0.274567538,0.633517787,0.193856392,0.284319664,2.01817999,0.175694602,0.830651058,0.442120794,0.268224445,0.14141145
"AQP1",0.000559874,0.046864497,0.002030199,0.001684769,0.002558461,0.00063314,0.000522862,0.485750665,0.001498697,0.000502202,0.048041239
"AQP10",0,0,0,0,0,9.72e-05,0,0,0,0,0
"AQP2",5.27e-06,5.08e-06,5.27e-06,0,0,9.14e-06,0,0,1.49e-06,4.48e-06,1.39e-05
"AQP3",0.003656325,0.006672156,0.000480854,0.001876891,0.011434944,0.003366985,0.001420467,0.022101849,1.92e-05,0.000131946,0.044664713
"AQP4",0,0.002203584,0,0,6.03e-05,7.36e-06,0,6.07e-05,0,0,0.000542703
"AQP5",0.001893792,0.002200279,3.88e-05,0.002056239,0.00028073,0.003335876,3e-05,2.48e-05,0.00028073,1.45e-06,0.01060127
"AQP8",0,0,0,0,0,0,0,0,0,3.79e-06,0
"AQP9",0.00308957,0,0,0,0,0.000310724,0.001255138,0,0,0.04882125,0
"ARAP1",0.003764061,0.005226308,0.003757799,0.003840137,0.010286238,0.004470631,0.00205871,0.003101975,0.010602202,0.010963519,0.005462257
"ARC",0,1.54e-05,2.1e-06,2.17e-06,3.58e-06,1.54e-05,0,2.17e-06,0,7.16e-06,4.35e-06
"AREG",0.008574022,0.000312372,0.022836015,0.007091203,0.000386739,0.000908915,0.000441948,0.000317645,0.000475366,0.033670578,0.001090337
"ARF1",0.029981454,0.020219369,0.034085255,0.059809041,0.029930574,0.043079826,0.05471756,0.118128488,0.026013002,0.033323207,0.098065433
"ARF6",0.002432377,0.00097603,0.003065325,0.00186181,0.001804976,0.003680642,0.002033076,0.002353941,0.00161567,0.001972581,0.001472603
"ARL4A",2.371107958,0.220667067,0.378138379,0.454120308,0.577730419,10.40248277,0.6439255,0.191677956,0.441547389,0.351998254,0.595683853
"ARL4C",0.066034565,0.219365533,2.283440541,1.621025463,3.09099253,1.790224142,0.21347381,0.105313332,3.486381616,0.495640202,0.215958984
"ARL4D",0.054941269,0.061415112,0.048920308,0.056148171,0.232947495,0.492417593,0.029352185,0.076915302,0.02823606,0.164122099,0.006153224
"ARL6",0.083213642,0.025802039,0.048761823,0.046578236,0.024799227,0.04617207,0.011130416,0.078824707,0.0571639,0.103820494,0.111966913
"ART1",0,0,0,0,0,0,0.000539656,0,0,0,0
"ART3",0.000511531,0.00131063,0.001023062,0,0.000405663,0.001747507,0,0.031986083,0,0.000405663,0
"ART4",0,0.000826822,0,0,0,0,0,0,0,0,0
"ASAH2",0.080255173,0.007680295,0.063955322,0.014768565,0.007433395,0.012369197,0.045615223,0.031630544,0.009695281,0.01041446,0.053549432
"ASGR1",0,0.002040343,0,0.005928913,0.005959439,0.021423598,0.001738583,0.062846478,0.00099324,0.005959439,0.008300478
"ASIC1",0.007637835,0.017730987,0.038189175,0.098097046,0.089258036,0.126449931,0.064921597,0.068241423,0.131969661,0.032855517,0.426508895
"ASIC3",0.010966984,0,0.013159284,0.035373146,0.001538306,0.010588523,0.043867937,0.003763101,0.023843744,0.003076612,0.003763101
"ASIC4",0,0,0.00405598,0,0.00399939,0.013933101,0.001351993,0,0.000666565,0,0.000574942
"ASIC5",0,0.000554456,0,0,0,0,0,0,0,0,0
