,tissueType,cellName,CellMarker,shortName,type
976,Pancreas,Ductal cells,TSPAN8,Ductal,other
977,Pancreas,Ductal cells,CLDN10,Ductal,other
978,Pancreas,Ductal cells,SLPI,Ductal,other
979,Pancreas,Ductal cells,SERPINA5,Ductal,other
980,Pancreas,Ductal cells,PIGR,Ductal,other
981,Pancreas,Ductal cells,CLDN1,Ductal,other
982,Pancreas,Ductal cells,LGALS4,Ductal,other
983,Pancreas,Ductal cells,PERP,Ductal,other
984,Pancreas,Ductal cells,PDLIM3,Ductal,other
985,Pancreas,Ductal cells,WFDC2,Ductal,other
986,Pancreas,Ductal cells,AQP1,Ductal,other
987,Pancreas,Ductal cells,ALDH1A3,Ductal,other
988,Pancreas,Ductal cells,KRT19,Ductal,other
989,Pancreas,Ductal cells,TFF1,Ductal,other
990,Pancreas,Ductal cells,TFF2,Ductal,other
991,Pancreas,Endothelial cells,PECAM1,ECs,other
992,Pancreas,Endothelial cells,CD34,ECs,other
993,Pancreas,Endothelial cells,MCAM,ECs,other
994,Pancreas,Endothelial cells,CDH5,ECs,other
995,Pancreas,Endothelial cells,VWF,ECs,other
996,Pancreas,Endothelial cells,ENG,ECs,other
997,Pancreas,Endothelial cells,KDR,ECs,other
998,Pancreas,Endothelial cells,PDPN,ECs,other
999,Pancreas,Endothelial cells,SELE,ECs,other
1000,Pancreas,Endothelial cells,A2M,ECs,other
1001,Pancreas,Epsilon cells,GHRL,Epsilon,other
1002,Pancreas,Epsilon cells,ANXA13,Epsilon,other
1003,Pancreas,Epsilon cells,PHGR1,Epsilon,other
1004,Pancreas,Epsilon cells,BMP4,Epsilon,other
1005,Pancreas,Epsilon cells,HMGCS2,Epsilon,other
1006,Pancreas,Epsilon cells,TM4SF5,Epsilon,other
1007,Pancreas,Epsilon cells,OLFML3,Epsilon,other
1008,Pancreas,Epsilon cells,ASGR1,Epsilon,other
1009,Pancreas,Epsilon cells,COX6A2,Epsilon,other
1010,Pancreas,Epsilon cells,NPY1R,Epsilon,other
1011,Pancreas,Epsilon cells,SLC7A9,Epsilon,other
1012,Pancreas,Epsilon cells,BHMT,Epsilon,other
1013,Pancreas,Epsilon cells,OPRK1,Epsilon,other
1014,Pancreas,Epsilon cells,PTGER4,Epsilon,other
1015,Pancreas,Epsilon cells,ITGA4,Epsilon,other
1016,Pancreas,Epsilon cells,EYA4,Epsilon,other
1017,Pancreas,Epsilon cells,XYLB,Epsilon,other
1018,Pancreas,Epsilon cells,ELOVL2,Epsilon,other
1019,Pancreas,Epsilon cells,AFF3,Epsilon,other
1020,Pancreas,Epsilon cells,CORIN,Epsilon,other
1021,Pancreas,Epsilon cells,MYO1A,Epsilon,other
1022,Pancreas,Epsilon cells,HRH2,Epsilon,other
1023,Pancreas,Epsilon cells,SLC6A16,Epsilon,other
1024,Pancreas,Epsilon cells,PCSK6,Epsilon,other
1025,Pancreas,Epsilon cells,ADAMTS6,Epsilon,other
1026,Pancreas,Epsilon cells,COL22A1,Epsilon,other
1027,Pancreas,Epsilon cells,FAM124A,Epsilon,other
1028,Pancreas,Epsilon cells,COL12A1,Epsilon,other
1029,Pancreas,Epsilon cells,CD109,Epsilon,other
1030,Pancreas,Epsilon cells,THSD4,Epsilon,other
1031,Pancreas,Epsilon cells,ARX,Epsilon,other
1032,Pancreas,Gamma (PP) cells,PPY,Gamma,other
1033,Pancreas,Gamma (PP) cells,SCGN,Gamma,other
1034,Pancreas,Gamma (PP) cells,FXYD2,Gamma,other
1035,Pancreas,Gamma (PP) cells,SCGB2A1,Gamma,other
1036,Pancreas,Gamma (PP) cells,GPC5-AS1,Gamma,other
1037,Pancreas,Gamma (PP) cells,CMTM8,Gamma,other
1038,Pancreas,Gamma (PP) cells,ARX,Gamma,other
1039,Pancreas,Gamma (PP) cells,ETV1,Gamma,other
1040,Pancreas,Gamma (PP) cells,PXK,Gamma,other
1041,Pancreas,Gamma (PP) cells,SERTM1,Gamma,other
1042,Pancreas,Gamma (PP) cells,SLITRK6,Gamma,other
1043,Pancreas,Gamma (PP) cells,SEMA3E,Gamma,other
1044,Pancreas,Gamma (PP) cells,APOBEC2,Gamma,other
1045,Pancreas,Gamma (PP) cells,ABCC9,Gamma,other
1046,Pancreas,Gamma (PP) cells,NEUROD1,Gamma,other
1047,Pancreas,Gamma (PP) cells,PAX6,Gamma,other
1048,Pancreas,Gamma (PP) cells,ISL1,Gamma,other
1049,Pancreas,Gamma (PP) cells,CARTPT,Gamma,other
1050,Pancreas,Gamma (PP) cells,THSD7A,Gamma,other
1051,Pancreas,Gamma (PP) cells,AQP3,Gamma,other
1052,Pancreas,Gamma (PP) cells,ENTPD2,Gamma,other
1053,Pancreas,Gamma (PP) cells,PTGFR,Gamma,other
1054,Pancreas,Gamma (PP) cells,CHN2,Gamma,other
1055,Pancreas,Gamma (PP) cells,EGR3,Gamma,other
1056,Pancreas,Gamma (PP) cells,LMO3,Gamma,other
1057,Pancreas,Gamma (PP) cells,MEIS1,Gamma,other
1058,Pancreas,Gamma (PP) cells,ZNF503,Gamma,other
1059,Pancreas,Immune system cells,MS4A1,Immune,other
1060,Pancreas,Immune system cells,CD19,Immune,other
1061,Pancreas,Immune system cells,CD4,Immune,other
1062,Pancreas,Immune system cells,CD8A,Immune,other
1063,Pancreas,Immune system cells,CD7,Immune,other
1064,Pancreas,Immune system cells,CTLA4,Immune,other
1065,Pancreas,Immune system cells,CD27,Immune,other
1066,Pancreas,Immune system cells,CCR7,Immune,other
1067,Pancreas,Immune system cells,CYTIP,Immune,other
1068,Pancreas,Immune system cells,IGHD,Immune,other
1069,Pancreas,Immune system cells,CD38,Immune,other
1070,Pancreas,Immune system cells,IL2RA,Immune,other
1071,Pancreas,Immune system cells,ISG20,Immune,other
1072,Pancreas,Immune system cells,SELL,Immune,other
1073,Pancreas,Immune system cells,IL7R,Immune,other
1074,Pancreas,Immune system cells,FOXP3,Immune,other
1075,Pancreas,Immune system cells,IGKC,Immune,other
1076,Pancreas,Immune system cells,IGLC3,Immune,other
1077,Pancreas,Immune system cells,IGLC2,Immune,other
1078,Pancreas,Immune system cells,CD79A,Immune,other
1079,Pancreas,Immune system cells,CD68,Immune,other
1080,Pancreas,Immune system cells,CD163,Immune,other
1081,Pancreas,Immune system cells,CD14,Immune,other
1082,Pancreas,Immune system cells,ITGAM,Immune,other
1083,Pancreas,Immune system cells,MRC1,Immune,other
1084,Pancreas,Immune system cells,MS4A7,Immune,other
1085,Pancreas,Immune system cells,CD3D,Immune,other
1086,Pancreas,Immune system cells,CD3E,Immune,other
1087,Pancreas,Immune system cells,CD3G,Immune,other
1088,Pancreas,Mast cells,KIT,Mast,other
1089,Pancreas,Mast cells,ENPP3,Mast,other
1090,Pancreas,Mast cells,IL2RA,Mast,other
1091,Pancreas,Mast cells,ISG20,Mast,other
1092,Pancreas,Mast cells,SLC18A2,Mast,other
1093,Pancreas,Mast cells,CD9,Mast,other
1094,Pancreas,Mast cells,FCER1A,Mast,other
1095,Pancreas,Mast cells,TPSB2,Mast,other
1096,Pancreas,Mast cells,FCER2,Mast,other
1097,Pancreas,Mesenchymal cells,ITGB1,MCs,other
1098,Pancreas,Mesenchymal cells,NT5E,MCs,other
1099,Pancreas,Mesenchymal cells,THY1,MCs,other
1100,Pancreas,Mesenchymal cells,ENG,MCs,other
1101,Pancreas,Mesenchymal cells,KIT,MCs,other
1102,Pancreas,Mesenchymal cells,ALCAM,MCs,other
1103,Pancreas,Pancreatic progenitor cells,ONECUT1,PPCs,other
1104,Pancreas,Pancreatic progenitor cells,PDX1,PPCs,other
1105,Pancreas,Pancreatic progenitor cells,PTF1A,PPCs,other
1106,Pancreas,Pancreatic progenitor cells,CXCR4,PPCs,other
1107,Pancreas,Pancreatic progenitor cells,ISL1,PPCs,other
1108,Pancreas,Pancreatic progenitor cells,NKX2-2,PPCs,other
1109,Pancreas,Pancreatic progenitor cells,EPAS1,PPCs,other
1110,Pancreas,Pancreatic progenitor cells,ARX,PPCs,other
1111,Pancreas,Pancreatic progenitor cells,NEUROG3,PPCs,other
1112,Pancreas,Pancreatic progenitor cells,SOX9,PPCs,other
1113,Pancreas,Pancreatic progenitor cells,RPL23A,PPCs,other
1114,Pancreas,Pancreatic progenitor cells,CTNNB1,PPCs,other
1115,Pancreas,Pancreatic progenitor cells,YAP1,PPCs,other
1116,Pancreas,Pancreatic progenitor cells,RGS16,PPCs,other
1117,Pancreas,Pancreatic progenitor cells,MFNG,PPCs,other
1118,Pancreas,Pancreatic stellate cells,TIMP1,PSCs,other
1119,Pancreas,Pancreatic stellate cells,RGS5,PSCs,other
1120,Pancreas,Pancreatic stellate cells,SPON2,PSCs,other
1121,Pancreas,Pancreatic stellate cells,GEM,PSCs,other
1122,Pancreas,Pancreatic stellate cells,DYNLT1,PSCs,other
1123,Pancreas,Pancreatic stellate cells,PDGFRB,PSCs,other
1124,Pancreas,Pancreatic stellate cells,KRT10,PSCs,other
1125,Pancreas,Pancreatic stellate cells,CYGB,PSCs,other
1126,Pancreas,Pancreatic stellate cells,CCN2,PSCs,other
1127,Pancreas,Pancreatic stellate cells,MMP14,PSCs,other
1128,Pancreas,Pancreatic stellate cells,NDUFA4L2,PSCs,other
1129,Pancreas,Pancreatic stellate cells,PDGFRA,PSCs,other
1130,Pancreas,Pancreatic stellate cells,INHBA,PSCs,other
1131,Pancreas,Pancreatic stellate cells,TGFB1,PSCs,other
1132,Pancreas,Peri-islet Schwann cells,MPZ,Islet Schwann,other
1133,Pancreas,Peri-islet Schwann cells,EGFL8,Islet Schwann,other
1134,Pancreas,Peri-islet Schwann cells,GFRA1,Islet Schwann,other
1135,Pancreas,Peri-islet Schwann cells,OLFML2A,Islet Schwann,other
1136,Pancreas,Peri-islet Schwann cells,GULP1,Islet Schwann,other
1137,Pancreas,Peri-islet Schwann cells,SLITRK6,Islet Schwann,other
1138,Pancreas,Peri-islet Schwann cells,VGLL3,Islet Schwann,other
1139,Pancreas,Peri-islet Schwann cells,GFRA3,Islet Schwann,other
1140,Pancreas,Peri-islet Schwann cells,INSC,Islet Schwann,other
1141,Pancreas,Peri-islet Schwann cells,SLITRK2,Islet Schwann,other
1142,Pancreas,Peri-islet Schwann cells,FIGN,Islet Schwann,other
1143,Pancreas,Peri-islet Schwann cells,LRRTM1,Islet Schwann,other
1144,Pancreas,Peri-islet Schwann cells,SEMA3B,Islet Schwann,other
1145,Pancreas,Peri-islet Schwann cells,NGFR,Islet Schwann,other
1146,Pancreas,Peri-islet Schwann cells,PNLIPRP1,Islet Schwann,other
1147,Pancreas,Peri-islet Schwann cells,GFRA2,Islet Schwann,other
1148,Liver,Cholangiocytes,SSTR2,Cholangiocytes,other
1149,Liver,Cholangiocytes,SLC4A2,Cholangiocytes,other
1150,Liver,Cholangiocytes,KRT7,Cholangiocytes,other
1151,Liver,Cholangiocytes,KCNN2,Cholangiocytes,other
1152,Liver,Cholangiocytes,ITGB4,Cholangiocytes,other
1153,Liver,Cholangiocytes,GGT6,Cholangiocytes,other
1154,Liver,Cholangiocytes,CFTR,Cholangiocytes,other
1155,Liver,Cholangiocytes,AQP4,Cholangiocytes,other
1156,Liver,Cholangiocytes,AQP1,Cholangiocytes,other
1157,Liver,Cholangiocytes,PIGR,Cholangiocytes,other
1158,Liver,Cholangiocytes,GGT1,Cholangiocytes,other
1159,Liver,Cholangiocytes,JAG1,Cholangiocytes,other
1160,Liver,Cholangiocytes,GPBAR1,Cholangiocytes,other
1161,Liver,Cholangiocytes,GGT7,Cholangiocytes,other
1162,Liver,Cholangiocytes,KRT19,Cholangiocytes,other
1163,Liver,Cholangiocytes,ONECUT2,Cholangiocytes,other
1164,Liver,Cholangiocytes,ALPL,Cholangiocytes,other
1165,Liver,Cholangiocytes,HNF1B,Cholangiocytes,other
1166,Liver,Cholangiocytes,ALB,Cholangiocytes,other
1167,Liver,Cholangiocytes,AGR2,Cholangiocytes,other
1168,Liver,Cholangiocytes,TFF3,Cholangiocytes,other
1169,Liver,Cholangiocytes,TFF1,Cholangiocytes,other
1170,Liver,Cholangiocytes,SOX9,Cholangiocytes,other
1171,Liver,Cholangiocytes,EPCAM,Cholangiocytes,other
1172,Liver,Cholangiocytes,CLDN4,Cholangiocytes,other
1173,Liver,Cholangiocytes,MMP7,Cholangiocytes,other
1174,Liver,Cholangiocytes,TFF2,Cholangiocytes,other
1175,Liver,Cholangiocytes,SCGB3A1,Cholangiocytes,other
1176,Liver,Cholangiocytes,FXYD2,Cholangiocytes,other
1177,Liver,Cholangiocytes,DEFB1,Cholangiocytes,other
1178,Liver,Cholangiocytes,CD24,Cholangiocytes,other
1179,Liver,Cholangiocytes,LCN2,Cholangiocytes,other
1180,Liver,Cholangiocytes,CXCL1,Cholangiocytes,other
1181,Liver,Cholangiocytes,CXCL6,Cholangiocytes,other
1182,Liver,Cholangiocytes,LGALS2,Cholangiocytes,other
1183,Liver,Cholangiocytes,TACSTD2,Cholangiocytes,other
1184,Liver,Cholangiocytes,ELF3,Cholangiocytes,other
1185,Liver,Cholangiocytes,SPP1,Cholangiocytes,other
1186,Liver,Cholangiocytes,MUC5B,Cholangiocytes,other
1187,Liver,Cholangiocytes,LGALS4,Cholangiocytes,other
1188,Liver,Cholangiocytes,KRT8,Cholangiocytes,other
1189,Liver,Endothelial cell,FLT1,Endothelial,other
1190,Liver,Endothelial cell,APPBP2,Endothelial,other
1191,Liver,Endothelial cell,ARGLU1,Endothelial,other
1192,Liver,Endothelial cell,ATP10D,Endothelial,other
1193,Liver,Endothelial cell,BNIP1,Endothelial,other
1194,Liver,Endothelial cell,BST2,Endothelial,other
1195,Liver,Endothelial cell,BTNL9,Endothelial,other
1196,Liver,Endothelial cell,C11orf96,Endothelial,other
1197,Liver,Endothelial cell,CCDC85B,Endothelial,other
1198,Liver,Endothelial cell,CCL14,Endothelial,other
1199,Liver,Endothelial cell,CD4,Endothelial,other
1200,Liver,Endothelial cell,CDC73,Endothelial,other
1201,Liver,Endothelial cell,CDKL1,Endothelial,other
1202,Liver,Endothelial cell,CHD4,Endothelial,other
1203,Liver,Endothelial cell,CLEC1B,Endothelial,other
1204,Liver,Endothelial cell,CLEC2B,Endothelial,other
1205,Liver,Endothelial cell,CLEC4G,Endothelial,other
1206,Liver,Endothelial cell,CLEC4M,Endothelial,other
1207,Liver,Endothelial cell,CRBN,Endothelial,other
1208,Liver,Endothelial cell,CRHBP,Endothelial,other
1209,Liver,Endothelial cell,CTSL,Endothelial,other
1210,Liver,Endothelial cell,DCLRE1C,Endothelial,other
1211,Liver,Endothelial cell,DIPK2A,Endothelial,other
1212,Liver,Endothelial cell,DLC1,Endothelial,other
1213,Liver,Endothelial cell,DLG1,Endothelial,other
1214,Liver,Endothelial cell,DLK1,Endothelial,other
1215,Liver,Endothelial cell,DNASE1L3,Endothelial,other
1216,Liver,Endothelial cell,DOCK1,Endothelial,other
1217,Liver,Endothelial cell,DUSP5,Endothelial,other
1218,Liver,Endothelial cell,EFNB2,Endothelial,other
1219,Liver,Endothelial cell,ENG,Endothelial,other
1220,Liver,Endothelial cell,F8,Endothelial,other
1221,Liver,Endothelial cell,FCN2,Endothelial,other
1222,Liver,Endothelial cell,FCN3,Endothelial,other
1223,Liver,Endothelial cell,FILIP1,Endothelial,other
1224,Liver,Endothelial cell,FOSB,Endothelial,other
1225,Liver,Endothelial cell,FXYD6,Endothelial,other
1226,Liver,Endothelial cell,GBP4,Endothelial,other
1227,Liver,Endothelial cell,GGA2,Endothelial,other
1228,Liver,Endothelial cell,GNG11,Endothelial,other
1229,Liver,Endothelial cell,HES1,Endothelial,other
1230,Liver,Endothelial cell,HYI,Endothelial,other
1231,Liver,Endothelial cell,IL1R1,Endothelial,other
1232,Liver,Endothelial cell,IL33,Endothelial,other
1233,Liver,Endothelial cell,KDR,Endothelial,other
1234,Liver,Endothelial cell,KIF1B,Endothelial,other
1235,Liver,Endothelial cell,KLHL28,Endothelial,other
1236,Liver,Endothelial cell,LDB2,Endothelial,other
1237,Liver,Endothelial cell,MCAM,Endothelial,other
1238,Liver,Endothelial cell,MCM3AP,Endothelial,other
1239,Liver,Endothelial cell,MEF2C,Endothelial,other
1240,Liver,Endothelial cell,MFN1,Endothelial,other
1241,Liver,Endothelial cell,MGAT5,Endothelial,other
1242,Liver,Endothelial cell,MPZL3,Endothelial,other
1243,Liver,Endothelial cell,MRC1,Endothelial,other
1244,Liver,Endothelial cell,OIT3,Endothelial,other
1245,Liver,Endothelial cell,PIK3C2A,Endothelial,other
1246,Liver,Endothelial cell,PPWD1,Endothelial,other
1247,Liver,Endothelial cell,PTPRC,Endothelial,other
1248,Liver,Endothelial cell,RASGEF1B,Endothelial,other
1249,Liver,Endothelial cell,RASGRP3,Endothelial,other
1250,Liver,Endothelial cell,RELN,Endothelial,other
1251,Liver,Endothelial cell,RIN2,Endothelial,other
1252,Liver,Endothelial cell,SECISBP2L,Endothelial,other
1253,Liver,Endothelial cell,STAB1,Endothelial,other
1254,Liver,Endothelial cell,STRN3,Endothelial,other
1255,Liver,Endothelial cell,TCF12,Endothelial,other
1256,Liver,Endothelial cell,TEX264,Endothelial,other
1257,Liver,Endothelial cell,TFRC,Endothelial,other
1258,Liver,Endothelial cell,TRAPPC11,Endothelial,other
1259,Liver,Endothelial cell,TSPAN7,Endothelial,other
1260,Liver,Endothelial cell,USP48,Endothelial,other
1261,Liver,Endothelial cell,VWF,Endothelial,other
1262,Liver,Endothelial cell,ZNF286B,Endothelial,other
1263,Liver,Endothelial cell,STAB2,Endothelial,other
1264,Liver,Endothelial cell,CD34,Endothelial,other
1265,Liver,Endothelial cell,PECAM1,Endothelial,other
1266,Liver,Hematopoietic cell,CD34,HCs,other
1267,Liver,Hematopoietic cell,PTPRC,HCs,other
1268,Liver,Hepatic stellate cells,CYGB,HSCs,other
1269,Liver,Hepatic stellate cells,PPARG,HSCs,other
1270,Liver,Hepatic stellate cells,PDGFRA,HSCs,other
1271,Liver,Hepatic stellate cells,RGS5,HSCs,other
1272,Liver,Hepatic stellate cells,PPARA,HSCs,other
1273,Liver,Hepatic stellate cells,FOXF1,HSCs,other
1274,Liver,Hepatic stellate cells,ALB,HSCs,other
1275,Liver,Hepatic stellate cells,NR1H4,HSCs,other
1276,Liver,Hepatic stellate cells,CCN2,HSCs,other
1277,Liver,Hepatic stellate cells,SEMA7A,HSCs,other
1278,Liver,Hepatic stellate cells,WT1,HSCs,other
1279,Liver,Hepatic stellate cells,FGF10,HSCs,other
1280,Liver,Hepatic stellate cells,GFAP,HSCs,other
1281,Liver,Hepatic stellate cells,NGFR,HSCs,other
1282,Liver,Hepatic stellate cells,VEGFA,HSCs,other
1283,Liver,Hepatic stellate cells,ACTA2,HSCs,other
1284,Liver,Hepatic stellate cells,MYB,HSCs,other
1285,Liver,Hepatic stellate cells,DES,HSCs,other
1286,Liver,Hepatic stellate cells,FAP,HSCs,other
1287,Liver,Hepatic stellate cells,SLC8A1,HSCs,other
1288,Liver,Hepatic stellate cells,RELN,HSCs,other
1289,Liver,Hepatic stellate cells,SYP,HSCs,other
1290,Liver,Hepatic stellate cells,VCL,HSCs,other
1291,Liver,Hepatic stellate cells,TIMP1,HSCs,other
1292,Liver,Hepatic stellate cells,COL1A1,HSCs,other
1293,Liver,Hepatic stellate cells,TAGLN,HSCs,other
1294,Liver,Hepatic stellate cells,COL1A2,HSCs,other
1295,Liver,Hepatic stellate cells,COL3A1,HSCs,other
1296,Liver,Hepatic stellate cells,SPARC,HSCs,other
1297,Liver,Hepatic stellate cells,RBP1,HSCs,other
1298,Liver,Hepatic stellate cells,DCN,HSCs,other
1299,Liver,Hepatic stellate cells,MYL9,HSCs,other
1300,Liver,Hepatic stellate cells,TPM2,HSCs,other
1301,Liver,Hepatic stellate cells,MEG3,HSCs,other
1302,Liver,Hepatic stellate cells,BGN,HSCs,other
1303,Liver,Hepatic stellate cells,IGFBP7,HSCs,other
1304,Liver,Hepatic stellate cells,IGFBP3,HSCs,other
1305,Liver,Hepatic stellate cells,CCN1,HSCs,other
1306,Liver,Hepatic stellate cells,OLFML3,HSCs,other
1307,Liver,Hepatic stellate cells,IGFBP6,HSCs,other
1308,Liver,Hepatic stellate cells,CCL2,HSCs,other
1309,Liver,Hepatic stellate cells,COLEC11,HSCs,other
1310,Liver,Hepatic stellate cells,HGF,HSCs,other
1311,Liver,Hepatoblasts,AFP,Hepatoblasts,other
1312,Liver,Hepatoblasts,ALB,Hepatoblasts,other
1313,Liver,Hepatoblasts,CEBPA,Hepatoblasts,other
1314,Liver,Hepatoblasts,KRT14,Hepatoblasts,other
1315,Liver,Hepatoblasts,DLK1,Hepatoblasts,other
1316,Liver,Hepatoblasts,CDH1,Hepatoblasts,other
1317,Liver,Hepatoblasts,FOXM1,Hepatoblasts,other
1318,Liver,Hepatoblasts,GGT1,Hepatoblasts,other
1319,Liver,Hepatoblasts,HNF4A,Hepatoblasts,other
1320,Liver,Hepatoblasts,PROX1,Hepatoblasts,other
1321,Liver,Hepatoblasts,MAP2K4,Hepatoblasts,other
1322,Liver,Hepatoblasts,SMAD5,Hepatoblasts,other
1323,Liver,Hepatoblasts,KRT18,Hepatoblasts,other
1324,Liver,Hepatoblasts,KRT8,Hepatoblasts,other
1325,Liver,Hepatoblasts,HNF1B,Hepatoblasts,other
1326,Liver,Hepatoblasts,HHEX,Hepatoblasts,other
1327,Liver,Hepatoblasts,MET,Hepatoblasts,other
1328,Liver,Hepatocytes,AFP,Hepatocytes,other
1329,Liver,Hepatocytes,HNF4A,Hepatocytes,other
1330,Liver,Hepatocytes,KRT8,Hepatocytes,other
1331,Liver,Hepatocytes,ALB,Hepatocytes,other
1332,Liver,Hepatocytes,KRT18,Hepatocytes,other
1333,Liver,Hepatocytes,FOSL1,Hepatocytes,other
1334,Liver,Hepatocytes,EPPK1,Hepatocytes,other
1335,Liver,Hepatocytes,UCP2,Hepatocytes,other
1336,Liver,Hepatocytes,GCK,Hepatocytes,other
1337,Liver,Hepatocytes,LRP5,Hepatocytes,other
1338,Liver,Hepatocytes,SLC10A1,Hepatocytes,other
1339,Liver,Hepatocytes,NOS2,Hepatocytes,other
1340,Liver,Hepatocytes,ATP7B,Hepatocytes,other
1341,Liver,Hepatocytes,GJB2,Hepatocytes,other
1342,Liver,Hepatocytes,FGFR4,Hepatocytes,other
1343,Liver,Hepatocytes,PROX1,Hepatocytes,other
1344,Liver,Hepatocytes,CRP,Hepatocytes,other
1345,Liver,Hepatocytes,SLC2A2,Hepatocytes,other
1346,Liver,Hepatocytes,TFR2,Hepatocytes,other
1347,Liver,Hepatocytes,KIF13B,Hepatocytes,other
1348,Liver,Hepatocytes,LIPC,Hepatocytes,other
1349,Liver,Hepatocytes,VDR,Hepatocytes,other
1350,Liver,Hepatocytes,ASGR1,Hepatocytes,other
1351,Liver,Hepatocytes,ARG1,Hepatocytes,other
1352,Liver,Hepatocytes,G6PC,Hepatocytes,other
1353,Liver,Hepatocytes,OTC,Hepatocytes,other
1354,Liver,Hepatocytes,SERPINA1,Hepatocytes,other
1355,Liver,Hepatocytes,ZHX2,Hepatocytes,other
1356,Liver,Hepatocytes,HHEX,Hepatocytes,other
1357,Liver,Hepatocytes,FOXA3,Hepatocytes,other
1358,Liver,Hepatocytes,FOXA2,Hepatocytes,other
1359,Liver,Hepatocytes,FOXA1,Hepatocytes,other
1360,Liver,Hepatocytes,CYP2E1,Hepatocytes,other
1361,Liver,Hepatocytes,CYP1A2,Hepatocytes,other
1362,Liver,Hepatocytes,CEBPA,Hepatocytes,other
1363,Liver,Hepatocytes,CDH1,Hepatocytes,other
1364,Liver,Hepatocytes,GPC3,Hepatocytes,other
1365,Liver,Hepatocytes,AHR,Hepatocytes,other
1366,Liver,Hepatocytes,CPS1,Hepatocytes,other
1367,Liver,Hepatocytes,GLS2,Hepatocytes,other
1368,Liver,Hepatocytes,PCK1,Hepatocytes,other
1369,Liver,Hepatocytes,TAT,Hepatocytes,other
1370,Liver,Hepatocytes,WT1,Hepatocytes,other
1371,Liver,Hepatocytes,PRRG4,Hepatocytes,other
1372,Liver,Hepatocytes,SULT1A1,Hepatocytes,other
1373,Liver,Hepatocytes,APOH,Hepatocytes,other
1374,Liver,Hepatocytes,CTNNB1,Hepatocytes,other
1375,Liver,Hepatocytes,ABCC3,Hepatocytes,other
1376,Liver,Hepatocytes,FGB,Hepatocytes,other
1377,Liver,Hepatocytes,AQP3,Hepatocytes,other
1378,Liver,Hepatocytes,PLSCR1,Hepatocytes,other
1379,Liver,Hepatocytes,FGA,Hepatocytes,other
1380,Liver,Hepatocytes,APOB,Hepatocytes,other
1381,Liver,Hepatocytes,ANG,Hepatocytes,other
1382,Liver,Hepatocytes,ANXA13,Hepatocytes,other
1383,Liver,Hepatocytes,SAT2,Hepatocytes,other
1384,Liver,Hepatocytes,SFRP5,Hepatocytes,other
1385,Liver,Hepatocytes,A1CF,Hepatocytes,other
1386,Liver,Hepatocytes,APOA1,Hepatocytes,other
1387,Liver,Hepatocytes,BNIP3,Hepatocytes,other
1388,Liver,Hepatocytes,FGL1,Hepatocytes,other
1389,Liver,Hepatocytes,PAH,Hepatocytes,other
1390,Liver,Hepatocytes,SERPINA6,Hepatocytes,other
1391,Liver,Hepatocytes,APOA2,Hepatocytes,other
1392,Liver,Hepatocytes,AZGP1,Hepatocytes,other
1393,Liver,Hepatocytes,FGG,Hepatocytes,other
1394,Liver,Hepatocytes,APOC3,Hepatocytes,other
1395,Liver,Hepatocytes,DEFB1,Hepatocytes,other
1396,Liver,Hepatocytes,TM4SF4,Hepatocytes,other
1397,Liver,Hepatocytes,GC,Hepatocytes,other
1398,Liver,Hepatocytes,AMBP,Hepatocytes,other
1399,Liver,Hepatocytes,ORM1,Hepatocytes,other
1400,Liver,Hepatocytes,TTR,Hepatocytes,other
1401,Liver,Hepatocytes,HAL,Hepatocytes,other
1402,Liver,Hepatocytes,ASS1,Hepatocytes,other
1403,Liver,Hepatocytes,SCD,Hepatocytes,other
1404,Liver,Hepatocytes,HMGCS1,Hepatocytes,other
1405,Liver,Hepatocytes,ACSS2,Hepatocytes,other
1406,Liver,Hepatocytes,TM7SF2,Hepatocytes,other
1407,Liver,Hepatocytes,SEC16B,Hepatocytes,other
1408,Liver,Hepatocytes,SLBP,Hepatocytes,other
1409,Liver,Hepatocytes,RND3,Hepatocytes,other
1410,Liver,Hepatocytes,BCHE,Hepatocytes,other
1411,Liver,Hepatocytes,GHR,Hepatocytes,other
1412,Liver,Hepatocytes,ALDH6A1,Hepatocytes,other
1413,Liver,Hepatocytes,MASP2,Hepatocytes,other
1414,Liver,Hepatocytes,AKR1C1,Hepatocytes,other
1415,Liver,Hepatocytes,HAMP,Hepatocytes,other
1416,Liver,Hepatocytes,GLUL,Hepatocytes,other
1417,Liver,Hepatocytes,ACLY,Hepatocytes,other
1418,Liver,Hepatocytes,ASL,Hepatocytes,other
1419,Liver,Hepatocytes,TMEM97,Hepatocytes,other
1420,Liver,Hepatocytes,CP,Hepatocytes,other
1421,Liver,Hepatocytes,SLPI,Hepatocytes,other
1422,Liver,Hepatocytes,ACAT2,Hepatocytes,other
1423,Liver,Hepatocytes,TM4SF5,Hepatocytes,other
1424,Liver,Hepatocytes,MSMO1,Hepatocytes,other
1425,Liver,Hepatocytes,LEPR,Hepatocytes,other
1426,Liver,Hepatocytes,RCAN1,Hepatocytes,other
1427,Liver,Hepatocytes,AR,Hepatocytes,other
1428,Liver,Hepatocytes,RPP25L,Hepatocytes,other
1429,Liver,Hepatocytes,HSD11B1,Hepatocytes,other
1430,Liver,Hepatocytes,APOM,Hepatocytes,other
1431,Liver,Hepatocytes,TKFC,Hepatocytes,other
1432,Liver,Hepatocytes,G0S2,Hepatocytes,other
